minute,ic_mean,ic_std,ic_n,ic_t,rankic_mean,rankic_std,rankic_n,rankic_t
930,0.1097,0.1115,200,13.9077,0.1167,0.0974,200,16.9544
931,0.0608,0.1339,200,6.4149,0.0711,0.1066,200,9.4338
932,0.0527,0.1493,200,4.9906,0.0601,0.1294,200,6.57
933,0.07,0.1369,200,7.2265,0.0669,0.12,200,7.8829
934,0.0577,0.1233,200,6.6213,0.0606,0.1044,200,8.2087
935,0.0629,0.1229,200,7.246,0.0598,0.1038,200,8.1482
936,0.0811,0.1312,200,8.7463,0.0748,0.1188,200,8.9094
937,0.0684,0.1218,200,7.9363,0.0534,0.114,200,6.6292
938,0.0713,0.128,200,7.8821,0.0525,0.1119,200,6.6382
939,0.0438,0.1243,200,4.9829,0.0432,0.1098,200,5.5652
940,0.0325,0.1286,200,3.5791,0.0256,0.1137,200,3.1836
941,0.0399,0.1218,200,4.6365,0.0415,0.1099,200,5.3444
942,0.0354,0.131,200,3.8169,0.0381,0.1189,200,4.5363
943,0.0411,0.1251,200,4.6418,0.0439,0.1141,200,5.4394
944,0.0411,0.1171,200,4.9616,0.0336,0.1049,200,4.522
945,0.0442,0.1269,200,4.9301,0.0371,0.1121,200,4.6775
946,0.0244,0.1304,200,2.6436,0.0223,0.1211,200,2.6009
947,0.0338,0.1384,200,3.4527,0.0428,0.1273,200,4.7531
948,0.0369,0.1225,200,4.2618,0.0383,0.1187,200,4.5691
949,0.0226,0.1166,200,2.7479,0.0235,0.1064,200,3.1236
950,0.0302,0.1199,200,3.5629,0.0302,0.1096,200,3.8954
951,0.0336,0.1286,200,3.6928,0.0352,0.1181,200,4.2179
952,0.0322,0.1332,200,3.4144,0.0328,0.116,200,3.9941
953,0.0124,0.13,200,1.3458,0.0189,0.104,200,2.5764
954,0.0304,0.1191,200,3.6121,0.0298,0.1131,200,3.7236
955,0.0225,0.1277,200,2.4856,0.0197,0.1205,200,2.3157
956,0.0323,0.1309,200,3.4913,0.0327,0.125,200,3.7044
957,0.0263,0.1232,200,3.0232,0.0267,0.1176,200,3.2119
958,0.0247,0.1274,200,2.7415,0.0277,0.1104,200,3.5487
959,0.0507,0.1136,200,6.3192,0.0466,0.1049,200,6.2797
1000,0.0425,0.1339,200,4.4862,0.0368,0.1364,200,3.8142
1001,0.0142,0.1317,200,1.5238,0.0194,0.1216,200,2.2575
1002,0.0352,0.1325,200,3.754,0.0319,0.1289,200,3.4957
1003,0.0244,0.1314,200,2.6269,0.0286,0.1247,200,3.2482
1004,0.02,0.1177,200,2.4021,0.019,0.1064,200,2.5268
1005,0.0218,0.1397,200,2.208,0.025,0.1351,200,2.6226
1006,0.0245,0.1354,200,2.561,0.0254,0.1252,200,2.8682
1007,0.0451,0.1333,200,4.7801,0.044,0.1223,200,5.0893
1008,0.0136,0.1303,200,1.4781,0.0262,0.1241,200,2.9909
1009,0.0485,0.1281,200,5.3534,0.0452,0.117,200,5.4684
1010,0.0288,0.1359,200,2.9993,0.0332,0.125,200,3.7542
1011,0.0469,0.1309,200,5.0675,0.0412,0.1165,200,4.996
1012,0.0449,0.1237,200,5.1375,0.0371,0.1246,200,4.2108
1013,0.0409,0.1361,200,4.2477,0.0431,0.1236,200,4.9245
1014,0.0238,0.1273,200,2.6431,0.03,0.1138,200,3.7323
1015,0.0357,0.1244,200,4.0623,0.0449,0.1159,200,5.4741
1016,0.0347,0.1181,200,4.1559,0.0314,0.1153,200,3.8542
1017,0.0229,0.1255,200,2.5766,0.0258,0.1183,200,3.0796
1018,0.0264,0.1388,200,2.6855,0.0269,0.1317,200,2.8864
1019,0.0323,0.1307,200,3.4931,0.0338,0.1216,200,3.9275
1020,0.034,0.1281,200,3.7486,0.0407,0.129,200,4.4578
1021,0.037,0.1304,200,4.0093,0.0324,0.1196,200,3.8282
1022,0.042,0.1276,200,4.6595,0.0395,0.1191,200,4.6864
1023,0.0345,0.1092,200,4.4711,0.0403,0.1001,200,5.6874
1024,0.0576,0.1292,200,6.3117,0.0535,0.1219,200,6.2122
1025,0.0412,0.1352,200,4.3082,0.047,0.1163,200,5.7182
1026,0.036,0.1329,200,3.8261,0.0393,0.1202,200,4.6184
1027,0.0358,0.1248,200,4.0556,0.0349,0.1178,200,4.1956
1028,0.0197,0.125,200,2.2269,0.0303,0.1119,200,3.8336
1029,0.0374,0.115,200,4.5981,0.0361,0.0963,200,5.3026
1030,0.0274,0.1311,200,2.9535,0.0297,0.121,200,3.4727
1031,0.0285,0.1291,200,3.1232,0.0326,0.1164,200,3.9551
1032,0.0319,0.1161,200,3.8901,0.0398,0.1107,200,5.0802
1033,0.0427,0.1121,200,5.3836,0.038,0.1021,200,5.2691
1034,0.0426,0.113,200,5.3327,0.0459,0.105,200,6.1748
1035,0.0339,0.1113,200,4.3029,0.0375,0.1072,200,4.9513
1036,0.0434,0.1318,200,4.6555,0.0423,0.1197,200,4.9964
1037,0.0457,0.1405,200,4.5983,0.0467,0.1268,200,5.207
1038,0.0321,0.1359,200,3.3431,0.0378,0.12,200,4.4549
1039,0.0535,0.1159,200,6.5314,0.0522,0.1028,200,7.1838
1040,0.0345,0.127,200,3.8387,0.0276,0.1146,200,3.41
1041,0.039,0.1276,200,4.3266,0.0406,0.1198,200,4.7964
1042,0.0307,0.1217,200,3.5695,0.0282,0.1136,200,3.5118
1043,0.0449,0.1288,200,4.9281,0.0443,0.1141,200,5.4923
1044,0.0545,0.1282,200,6.0114,0.0477,0.1153,200,5.852
1045,0.042,0.1399,200,4.2425,0.0425,0.1186,200,5.0757
1046,0.0436,0.1169,200,5.2777,0.0497,0.1089,200,6.4461
1047,0.0434,0.1257,200,4.8817,0.0381,0.1151,200,4.6796
1048,0.0302,0.1255,200,3.4016,0.0367,0.1098,200,4.7292
1049,0.0329,0.1189,200,3.9119,0.0365,0.1052,200,4.901
1050,0.0471,0.1317,200,5.0599,0.0487,0.1127,200,6.1075
1051,0.0189,0.1287,200,2.0773,0.0265,0.111,200,3.3729
1052,0.0155,0.1219,200,1.7939,0.0286,0.1128,200,3.5872
1053,0.0357,0.121,200,4.1771,0.0384,0.1131,200,4.8027
1054,0.0414,0.122,200,4.7985,0.0459,0.103,200,6.308
1055,0.0311,0.1316,200,3.3454,0.0351,0.1177,200,4.2121
1056,0.0325,0.1233,200,3.7305,0.0373,0.1092,200,4.8311
1057,0.0271,0.1298,200,2.951,0.0288,0.1143,200,3.5584
1058,0.0361,0.1119,200,4.5662,0.037,0.1007,200,5.2014
1059,0.0352,0.1136,200,4.3816,0.0374,0.0991,200,5.3394
1100,0.0177,0.1291,200,1.9436,0.0211,0.1243,200,2.4023
1101,0.0437,0.1374,200,4.5022,0.0463,0.1244,200,5.2641
