minute,ic_mean,ic_std,ic_n,ic_t,rankic_mean,rankic_std,rankic_n,rankic_t
930,-0.017,0.1137,200,-2.113,-0.0277,0.0864,200,-4.5353
931,0.0185,0.0869,200,3.0162,0.0164,0.0673,200,3.4376
932,0.0229,0.0921,200,3.5164,0.0169,0.0694,200,3.4409
933,0.0201,0.0945,200,3.0033,0.0171,0.0741,200,3.2644
934,0.0192,0.0822,200,3.3052,0.0171,0.0611,200,3.9662
935,0.0207,0.0866,200,3.3852,0.0193,0.0715,200,3.815
936,0.021,0.085,200,3.491,0.0212,0.0713,200,4.2021
937,0.01,0.082,200,1.7322,0.006,0.0775,200,1.0866
938,0.008,0.0744,200,1.5146,0.0062,0.067,200,1.3192
939,0.0159,0.0894,200,2.5102,0.0102,0.0722,200,2.0038
940,0.0094,0.0845,200,1.5693,0.0098,0.0729,200,1.9083
941,0.0131,0.0883,200,2.0982,0.0126,0.079,200,2.2607
942,0.0087,0.0888,200,1.3856,0.0082,0.0748,200,1.5495
943,0.0121,0.0798,200,2.1458,0.0096,0.0749,200,1.807
944,0.0199,0.0781,200,3.608,0.0156,0.0695,200,3.1862
945,0.0097,0.0791,200,1.7245,0.0071,0.0708,200,1.41
946,0.0076,0.0792,200,1.3517,0.0068,0.0673,200,1.4372
947,0.0166,0.0774,200,3.0422,0.0183,0.0689,200,3.7637
948,0.0126,0.0783,200,2.27,0.0102,0.0626,200,2.2983
949,0.0142,0.0823,200,2.439,0.0125,0.0726,200,2.4303
950,0.0078,0.08,200,1.3722,0.0085,0.0756,200,1.5803
951,0.0114,0.0815,200,1.9813,0.0121,0.0718,200,2.3822
952,0.0123,0.0835,200,2.0905,0.0141,0.0765,200,2.6013
953,0.0139,0.0741,200,2.6456,0.0069,0.07,200,1.4011
954,0.0098,0.0767,200,1.8054,0.0135,0.0707,200,2.707
955,0.0172,0.09,200,2.6995,0.0149,0.0796,200,2.6478
956,0.0171,0.0812,200,2.9756,0.019,0.0747,200,3.596
957,0.0066,0.0845,200,1.097,0.0039,0.0814,200,0.6756
