minute,ic_mean,ic_std,ic_n,ic_t,rankic_mean,rankic_std,rankic_n,rankic_t
930,0.0033,0.0486,200,0.9689,0.0126,0.053,200,3.3742
931,0.0145,0.0472,200,4.3514,0.0214,0.0543,200,5.5573
932,0.0218,0.0463,200,6.67,0.0257,0.0511,200,7.1018
933,0.0205,0.0475,200,6.1078,0.024,0.0502,200,6.7563
934,0.0241,0.0465,200,7.3473,0.0295,0.0518,200,8.0446
935,0.0232,0.0482,200,6.8216,0.0252,0.052,200,6.8424
936,0.0189,0.0434,200,6.1589,0.0211,0.0503,200,5.9425
937,0.0192,0.0479,200,5.658,0.024,0.0549,200,6.1966
938,0.0192,0.0495,200,5.4846,0.0232,0.0544,200,6.0365
939,0.0244,0.0428,200,8.0553,0.0277,0.05,200,7.8417
940,0.0232,0.043,200,7.6305,0.0258,0.0496,200,7.3437
941,0.0219,0.0509,200,6.0731,0.0224,0.0582,200,5.4337
942,0.0199,0.0508,200,5.5362,0.0208,0.0585,200,5.0317
943,0.0184,0.0536,200,4.8582,0.0222,0.0565,200,5.5453
944,0.0219,0.0532,200,5.8319,0.0252,0.0584,200,6.0954
945,0.0242,0.0519,200,6.6042,0.0273,0.0596,200,6.4894
946,0.0239,0.0525,200,6.4527,0.0262,0.0592,200,6.2473
947,0.0247,0.0543,200,6.4393,0.0268,0.0616,200,6.1621
948,0.0191,0.0509,200,5.3237,0.0221,0.057,200,5.4901
949,0.0275,0.0563,200,6.9095,0.0298,0.0639,200,6.5841
950,0.0205,0.0494,200,5.8596,0.0241,0.055,200,6.2004
951,0.0185,0.0572,200,4.5771,0.0162,0.0694,200,3.3037
952,0.0269,0.0565,200,6.7349,0.028,0.0635,200,6.2387
953,0.0195,0.0507,200,5.4456,0.0189,0.0571,200,4.6705
954,0.0145,0.0463,200,4.4452,0.015,0.0524,200,4.0402
955,0.0115,0.0597,200,2.7213,0.0137,0.0667,200,2.9107
956,0.0145,0.0563,200,3.6311,0.0176,0.065,200,3.8362
957,0.011,0.0583,200,2.6709,0.0134,0.0661,200,2.8638
958,0.011,0.06,200,2.5827,0.0102,0.0668,200,2.166
959,0.0078,0.0547,200,2.0079,0.0072,0.0608,200,1.6663
1000,0.0068,0.0528,200,1.832,0.0068,0.059,200,1.6228
1001,0.0145,0.0542,200,3.7918,0.017,0.0599,200,4.0236
1002,0.0096,0.0578,200,2.3502,0.0119,0.0634,200,2.6437
1003,0.0089,0.0613,200,2.0443,0.0111,0.0696,200,2.2591
1004,0.0111,0.0515,200,3.0462,0.0135,0.0585,200,3.2754
1005,0.0114,0.0611,200,2.6435,0.0114,0.0698,200,2.3148
1006,0.0091,0.0605,200,2.1242,0.0071,0.0661,200,1.5276
1007,0.0082,0.0594,200,1.9586,0.0107,0.0699,200,2.1542
1008,0.0121,0.0548,200,3.1119,0.0148,0.0622,200,3.3589
1009,0.0082,0.0586,200,1.9714,0.008,0.0666,200,1.7074
1010,0.0066,0.0582,200,1.6085,0.0084,0.0653,200,1.8188
1011,0.0123,0.0551,200,3.1563,0.0135,0.064,200,2.9749
1012,0.0059,0.0593,200,1.3987,0.0051,0.0661,200,1.0954
1013,0.0182,0.0551,200,4.6829,0.0212,0.0593,200,5.0633
1014,0.0184,0.059,200,4.407,0.0214,0.0645,200,4.6981
1015,0.014,0.0579,200,3.417,0.0167,0.0649,200,3.6515
1016,0.0145,0.0581,200,3.5206,0.0192,0.0663,200,4.1019
1017,0.014,0.0597,200,3.3111,0.0157,0.0681,200,3.2629
1018,0.0278,0.056,200,7.0336,0.031,0.066,200,6.6497
1019,0.0199,0.0588,200,4.7853,0.0213,0.0679,200,4.4337
1020,0.0115,0.058,200,2.8058,0.0117,0.0674,200,2.4629
1021,0.016,0.0607,200,3.7161,0.0209,0.0674,200,4.3876
1022,0.0139,0.0583,200,3.3656,0.0159,0.0656,200,3.4343
1023,0.015,0.0602,200,3.5246,0.0216,0.0683,200,4.4653
1024,0.0052,0.0584,200,1.2582,0.0067,0.0673,200,1.4058
1025,0.0055,0.0584,200,1.32,0.0072,0.0641,200,1.5926
1026,0.0113,0.0579,200,2.7483,0.0121,0.0634,200,2.7034
1027,0.0092,0.0612,200,2.1214,0.0124,0.0688,200,2.5476
1028,0.0101,0.0576,200,2.4888,0.0165,0.0646,200,3.6191
1029,0.0113,0.049,200,3.255,0.0153,0.0573,200,3.7871
1030,0.014,0.0551,200,3.6037,0.0185,0.0613,200,4.266
