minute,ic_mean,ic_std,ic_n,ic_t,rankic_mean,rankic_std,rankic_n,rankic_t
930,0.0053,0.047,200,1.585,0.0092,0.048,200,2.7159
931,0.0124,0.0464,200,3.7927,0.0172,0.0529,200,4.5869
932,0.0192,0.0448,200,6.0719,0.0165,0.0483,200,4.8255
933,0.0157,0.0422,200,5.2581,0.0141,0.0469,200,4.2383
934,0.0149,0.045,200,4.676,0.0149,0.0501,200,4.2075
935,0.0128,0.048,200,3.7696,0.0105,0.0511,200,2.9086
936,0.0136,0.0417,200,4.6006,0.0109,0.0476,200,3.2342
937,0.0107,0.0476,200,3.1855,0.0117,0.0518,200,3.2042
938,0.0123,0.0497,200,3.5102,0.0114,0.053,200,3.0453
939,0.0157,0.0459,200,4.8292,0.0157,0.0523,200,4.235
940,0.0162,0.0488,200,4.684,0.0149,0.0536,200,3.9354
941,0.0118,0.0464,200,3.5982,0.009,0.0536,200,2.3856
942,0.0095,0.0517,200,2.5981,0.0094,0.0557,200,2.3888
943,0.0071,0.0479,200,2.0991,0.0074,0.0506,200,2.0805
944,0.0114,0.0479,200,3.358,0.0133,0.0528,200,3.5543
945,0.0153,0.0498,200,4.3458,0.0166,0.0558,200,4.1926
946,0.0154,0.0504,200,4.3227,0.0136,0.0525,200,3.6701
947,0.0133,0.0521,200,3.6121,0.0152,0.0574,200,3.7358
948,0.0107,0.0507,200,2.9885,0.0106,0.0546,200,2.7332
949,0.018,0.0589,200,4.3165,0.0199,0.0606,200,4.6397
950,0.0082,0.0457,200,2.5307,0.008,0.0489,200,2.3086
951,0.0061,0.0538,200,1.6122,0.0051,0.0619,200,1.1646
952,0.0138,0.0541,200,3.6115,0.0121,0.0577,200,2.9678
953,0.0118,0.0479,200,3.4759,0.0069,0.0517,200,1.8766
954,0.0046,0.0496,200,1.2997,0.0042,0.0535,200,1.1022
955,0.0075,0.054,200,1.9536,0.0053,0.0584,200,1.2861
956,0.011,0.0518,200,3.0042,0.0112,0.059,200,2.6833
957,0.0075,0.0559,200,1.8923,0.007,0.061,200,1.6255
958,0.0064,0.0521,200,1.7248,0.0043,0.0573,200,1.0544
959,-0.0019,0.0519,200,-0.5313,-0.0022,0.0546,200,-0.5798
1000,0.0005,0.0508,200,0.131,0.0,0.0543,200,0.0122
1001,0.007,0.05,200,1.9916,0.0055,0.054,200,1.45
1002,0.0047,0.0551,200,1.2039,0.004,0.0593,200,0.9438
1003,0.0031,0.055,200,0.8037,0.0041,0.0614,200,0.9395
1004,0.0119,0.0473,200,3.5584,0.012,0.0527,200,3.2123
1005,0.0083,0.0574,200,2.0455,0.0071,0.0614,200,1.6307
1006,0.0005,0.054,200,0.1388,0.0005,0.0582,200,0.1179
1007,0.0073,0.0572,200,1.8013,0.007,0.0642,200,1.5511
1008,0.0042,0.0524,200,1.1329,0.0061,0.0571,200,1.5047
1009,0.0011,0.0542,200,0.2902,0.0021,0.0605,200,0.4858
1010,0.003,0.055,200,0.77,0.0021,0.059,200,0.5142
1011,0.0063,0.0529,200,1.698,0.0052,0.0582,200,1.2561
1012,0.0026,0.0569,200,0.6407,0.0,0.0582,200,0.0076
1013,0.0132,0.0535,200,3.496,0.014,0.0548,200,3.6017
1014,0.0089,0.0524,200,2.3969,0.0094,0.0565,200,2.3586
1015,0.0099,0.0482,200,2.9066,0.0088,0.0542,200,2.2842
1016,0.0097,0.0533,200,2.5726,0.0124,0.0602,200,2.915
1017,0.011,0.0565,200,2.7545,0.0104,0.0613,200,2.3943
1018,0.018,0.0525,200,4.8648,0.0184,0.0598,200,4.3564
1019,0.0134,0.0563,200,3.3577,0.0129,0.0623,200,2.926
1020,0.0089,0.0517,200,2.4284,0.0092,0.06,200,2.1623
1021,0.0119,0.0567,200,2.9797,0.0163,0.0605,200,3.8042
1022,0.0086,0.0537,200,2.2778,0.009,0.0571,200,2.2376
1023,0.0104,0.0561,200,2.6156,0.0145,0.0609,200,3.3596
1024,0.0054,0.055,200,1.3968,0.0039,0.0602,200,0.9224
1025,0.0015,0.0503,200,0.4356,0.0028,0.0558,200,0.7158
1026,0.0072,0.0546,200,1.8647,0.0085,0.0584,200,2.0683
1027,0.0061,0.0605,200,1.4163,0.0077,0.065,200,1.6808
1028,0.0084,0.0534,200,2.2135,0.0089,0.0581,200,2.1618
1029,0.0103,0.0498,200,2.9197,0.0109,0.0531,200,2.8993
1030,0.0135,0.0565,200,3.3801,0.0148,0.0606,200,3.4421
1031,0.0091,0.0508,200,2.5389,0.0078,0.055,200,2.0148
1032,0.0087,0.0554,200,2.231,0.0045,0.0611,200,1.038
1033,0.0065,0.0537,200,1.7105,0.0022,0.059,200,0.5164
1034,0.0109,0.0567,200,2.729,0.0096,0.0614,200,2.2203
1035,0.0064,0.0547,200,1.6624,0.0064,0.0584,200,1.5595
1036,0.0065,0.058,200,1.5868,0.0045,0.0634,200,1.0076
1037,0.0055,0.0596,200,1.2945,0.0047,0.067,200,0.9937
1038,0.0114,0.0537,200,2.997,0.0098,0.0611,200,2.2736
1039,0.0097,0.0557,200,2.4743,0.0105,0.0606,200,2.4477
1040,0.0108,0.0525,200,2.9101,0.0092,0.0562,200,2.3136
1041,0.0076,0.0565,200,1.8972,0.0078,0.0616,200,1.7849
1042,0.0092,0.0532,200,2.4572,0.0107,0.0567,200,2.668
1043,0.0148,0.0512,200,4.0768,0.0148,0.0577,200,3.6211
1044,0.0126,0.0528,200,3.3677,0.0111,0.0601,200,2.6136
1045,0.0147,0.0568,200,3.666,0.0135,0.059,200,3.2442
1046,0.012,0.0578,200,2.9246,0.0076,0.0615,200,1.7501
1047,0.0086,0.0544,200,2.2431,0.0095,0.0623,200,2.1505
1048,0.0122,0.054,200,3.1971,0.0138,0.0571,200,3.4213
1049,0.011,0.0539,200,2.8939,0.0141,0.0614,200,3.2403
1050,0.0052,0.0541,200,1.3512,0.0066,0.0578,200,1.621
1051,0.0165,0.0525,200,4.4537,0.015,0.0563,200,3.769
1052,0.0091,0.0525,200,2.4568,0.0109,0.0593,200,2.5987
1053,0.0053,0.0559,200,1.3353,0.0088,0.0604,200,2.0515
1054,0.012,0.0522,200,3.2466,0.0118,0.0588,200,2.8351
1055,0.0083,0.054,200,2.164,0.0099,0.0562,200,2.4994
1056,0.0074,0.0538,200,1.9548,0.0066,0.0599,200,1.548
1057,0.0126,0.0457,200,3.9009,0.0147,0.0524,200,3.9657
1058,0.0093,0.0502,200,2.6259,0.0093,0.057,200,2.3003
1059,0.0128,0.0527,200,3.4291,0.0139,0.0558,200,3.5283
1100,0.0097,0.0531,200,2.5711,0.0083,0.0577,200,2.0355
1101,0.0097,0.0534,200,2.5637,0.0099,0.0542,200,2.5729
1102,0.0045,0.0558,200,1.1484,0.0032,0.0622,200,0.7341
1103,0.0075,0.0529,200,2.0066,0.0073,0.0548,200,1.8838
1104,0.0061,0.0514,200,1.6698,0.0044,0.0535,200,1.1756
1105,0.0095,0.0552,200,2.4467,0.0106,0.058,200,2.5932
1106,0.0085,0.0516,200,2.3299,0.0112,0.0597,200,2.6453
1107,0.0099,0.0526,200,2.6549,0.0088,0.0606,200,2.0536
1108,0.0111,0.055,200,2.8586,0.0108,0.0611,200,2.4987
1109,0.0067,0.0546,200,1.7446,0.0048,0.0586,200,1.1533
1110,0.0132,0.0543,200,3.434,0.0147,0.0572,200,3.6363
1111,0.0111,0.0539,200,2.9116,0.0111,0.0622,200,2.5119
1112,0.0073,0.0508,200,2.0427,0.0076,0.0583,200,1.8405
1113,0.0119,0.0512,200,3.2838,0.0117,0.0549,200,3.0017
1114,0.0121,0.0519,200,3.3048,0.011,0.0555,200,2.7896
1115,0.012,0.0519,200,3.2708,0.0091,0.0551,200,2.3263
1116,0.0061,0.0499,200,1.7406,0.0042,0.0555,200,1.0649
1117,0.0091,0.0538,200,2.3864,0.0071,0.0605,200,1.6611
1118,0.0073,0.0532,200,1.9294,0.0077,0.0572,200,1.905
1119,0.0124,0.0491,200,3.5575,0.0135,0.0532,200,3.5851
1120,0.0083,0.0506,200,2.3162,0.0078,0.0571,200,1.9437
1121,0.0094,0.052,200,2.5703,0.0086,0.0565,200,2.1472
1122,0.0117,0.052,200,3.1674,0.0076,0.0565,200,1.8912
1123,0.0149,0.0532,200,3.9742,0.0167,0.056,200,4.2266
1124,0.0122,0.053,200,3.2602,0.0128,0.0582,200,3.1188
1125,0.0042,0.0538,200,1.113,0.0031,0.0574,200,0.7593
1126,0.003,0.0534,200,0.7942,0.0028,0.0582,200,0.6889
1127,-0.0023,0.0521,200,-0.6319,-0.0031,0.0566,200,-0.7686
1128,0.0055,0.0523,200,1.4771,0.0038,0.0553,200,0.9766
1129,0.0114,0.0509,200,3.1653,0.0102,0.0531,200,2.7183
1130,0.0147,0.05,200,4.1494,0.0148,0.0541,200,3.876
1131,0.0108,0.0548,200,2.799,0.0105,0.0581,200,2.5586
1132,0.0172,0.0545,200,4.4554,0.0178,0.0626,200,4.0242
1133,0.0115,0.0539,200,3.027,0.0129,0.059,200,3.0853
1134,0.0086,0.0507,200,2.3912,0.0094,0.0523,200,2.5509
1135,0.0041,0.051,200,1.1476,0.0071,0.0531,200,1.8793
1136,0.0114,0.0566,200,2.8364,0.014,0.0633,200,3.1242
1137,0.0061,0.0543,200,1.5776,0.0038,0.0607,200,0.8739
1138,0.0079,0.0527,200,2.1208,0.0097,0.0582,200,2.3531
1139,0.0046,0.0519,200,1.2442,0.0058,0.0594,200,1.3836
1140,0.0106,0.0495,200,3.0257,0.0115,0.0541,200,3.0063
1141,0.0134,0.052,200,3.6519,0.0131,0.0566,200,3.2755
1142,0.0027,0.0533,200,0.7123,0.0049,0.0584,200,1.1887
1143,0.0153,0.0527,200,4.0974,0.0125,0.0573,200,3.0961
1144,0.009,0.0507,200,2.5007,0.0096,0.0551,200,2.4755
1145,0.0167,0.0482,200,4.8971,0.0185,0.0525,200,4.9833
1146,0.0078,0.0515,200,2.1411,0.006,0.0572,200,1.4924
1147,0.0075,0.0545,200,1.9364,0.0076,0.0617,200,1.7403
1148,0.0141,0.0521,200,3.8305,0.0142,0.0552,200,3.6425
1149,0.0073,0.0519,200,1.9809,0.0065,0.0582,200,1.5887
1150,0.0096,0.053,200,2.5565,0.0078,0.057,200,1.945
1151,0.01,0.0573,200,2.4764,0.0065,0.0612,200,1.5052
1152,0.0054,0.0496,200,1.5508,0.0032,0.0538,200,0.8332
1153,0.0056,0.0504,200,1.5691,0.0047,0.0523,200,1.2778
1154,0.0118,0.0572,200,2.912,0.0109,0.0624,200,2.4631
1155,0.007,0.0518,200,1.9236,0.0073,0.0557,200,1.8619
1156,0.0075,0.0515,200,2.0485,0.0048,0.055,200,1.2441
1157,0.0099,0.0498,200,2.8244,0.0048,0.0545,200,1.2505
1158,0.0069,0.0531,200,1.8316,0.0059,0.0579,200,1.4342
1159,0.0136,0.0495,200,3.8722,0.0129,0.0512,200,3.5653
1200,0.0175,0.0508,200,4.8607,0.0174,0.0543,200,4.5366
1201,-0.0028,0.049,200,-0.8033,-0.0032,0.0558,200,-0.811
1202,0.0074,0.0553,200,1.9033,0.0069,0.0614,200,1.5872
1203,0.0102,0.0501,200,2.8797,0.0129,0.0517,200,3.5277
1204,0.0123,0.0507,200,3.4407,0.0119,0.0552,200,3.0351
1205,0.0065,0.0484,200,1.8854,0.0081,0.0509,200,2.2497
1206,0.0169,0.0495,200,4.8166,0.0164,0.0512,200,4.5231
1207,0.0055,0.0523,200,1.4823,0.0057,0.059,200,1.3748
1208,0.0154,0.0494,200,4.4116,0.014,0.0537,200,3.6815
1209,0.0028,0.0564,200,0.7072,0.0007,0.0575,200,0.1796
1210,0.0097,0.0605,200,2.2667,0.0092,0.0598,200,2.1785
1211,0.0063,0.0495,200,1.8103,0.0043,0.0547,200,1.1237
1212,0.0066,0.0515,200,1.8102,0.0048,0.0562,200,1.2162
1213,0.0089,0.0498,200,2.5306,0.0107,0.0547,200,2.7742
1214,0.0047,0.0495,200,1.3372,0.0057,0.0562,200,1.4429
1215,0.0143,0.0535,200,3.7873,0.0106,0.0576,200,2.6001
1216,0.008,0.0519,200,2.1745,0.0087,0.0594,200,2.0734
1217,0.0034,0.0524,200,0.9113,0.0026,0.0577,200,0.6451
1218,0.01,0.0521,200,2.7043,0.0077,0.0563,200,1.9311
1219,0.009,0.0492,200,2.5827,0.0105,0.0534,200,2.7861
1220,0.0082,0.0531,200,2.193,0.0078,0.0576,200,1.9123
1221,0.006,0.0548,200,1.5458,0.0069,0.0601,200,1.6235
1222,0.0078,0.0491,200,2.2591,0.009,0.0546,200,2.3384
1223,0.0104,0.0475,200,3.0933,0.008,0.0525,200,2.1543
1224,0.0027,0.0465,200,0.8241,0.0038,0.0493,200,1.0972
1225,0.0038,0.0511,200,1.0504,0.0005,0.0552,200,0.1215
1226,0.0037,0.0506,200,1.0342,0.0013,0.0607,200,0.3077
1227,0.0066,0.0483,200,1.9261,0.0031,0.0523,200,0.8349
1228,-0.0008,0.0469,200,-0.2484,-0.0031,0.0522,200,-0.8445
1229,0.0077,0.0533,200,2.0512,0.0071,0.0578,200,1.7387
1230,0.011,0.0478,200,3.2609,0.0117,0.0517,200,3.1904
1231,0.0032,0.0504,200,0.8954,0.006,0.0565,200,1.503
1232,0.0072,0.0521,200,1.9621,0.0084,0.0575,200,2.0605
1233,0.0069,0.0518,200,1.8793,0.0066,0.0522,200,1.7877
1234,0.013,0.0493,200,3.7258,0.0119,0.0547,200,3.0748
1235,0.0109,0.0509,200,3.0352,0.0107,0.0536,200,2.8239
1236,0.0119,0.0473,200,3.5528,0.012,0.0507,200,3.3479
1237,0.0215,0.0518,200,5.8598,0.0206,0.0555,200,5.2537
1238,0.0102,0.0489,200,2.9574,0.0125,0.0524,200,3.3605
1239,0.0115,0.0523,200,3.111,0.0108,0.0561,200,2.7204
1240,0.0089,0.0597,200,2.1187,0.0088,0.0625,200,1.9867
1241,0.0125,0.0542,200,3.2671,0.0098,0.0583,200,2.3748
1242,0.0138,0.0473,200,4.1162,0.0094,0.0516,200,2.588
1243,0.0067,0.0495,200,1.9286,0.0035,0.0539,200,0.9225
1244,0.0136,0.0542,200,3.5421,0.0162,0.0554,200,4.1442
1245,0.009,0.0497,200,2.5517,0.0095,0.0542,200,2.4774
1246,0.0129,0.0481,200,3.7982,0.0144,0.0549,200,3.7139
1247,0.0106,0.0523,200,2.8549,0.0122,0.0612,200,2.8135
1248,0.0109,0.0564,200,2.7302,0.0113,0.0613,200,2.5965
1249,0.0113,0.0503,200,3.1766,0.0118,0.0546,200,3.064
1250,0.0123,0.0586,200,2.962,0.0122,0.0643,200,2.6745
1251,0.0121,0.0483,200,3.5298,0.0091,0.0533,200,2.4272
1252,0.0089,0.0549,200,2.2943,0.0105,0.0588,200,2.5212
1253,0.0069,0.047,200,2.0646,0.004,0.0514,200,1.1015
1254,0.0099,0.0544,200,2.5726,0.0081,0.0568,200,2.0132
1255,0.0054,0.0507,200,1.4985,0.0018,0.0544,200,0.4793
1256,0.003,0.0496,200,0.8473,-0.0003,0.0558,200,-0.0725
1257,0.0037,0.0535,200,0.9737,0.0027,0.0559,200,0.692
1258,0.0041,0.0523,200,1.1172,0.0045,0.0591,200,1.0758
1259,0.0041,0.0474,200,1.2109,0.0007,0.052,200,0.183
1300,0.0065,0.051,200,1.7968,0.005,0.0547,200,1.2934
1301,0.0054,0.0561,199,1.3535,0.0066,0.0613,199,1.5196
1302,0.0067,0.0528,199,1.7889,0.0066,0.0621,199,1.4899
1303,0.0065,0.0558,199,1.6476,0.0065,0.0609,199,1.5022
1304,0.0091,0.0556,199,2.2987,0.0102,0.06,199,2.4008
1305,0.0109,0.0557,199,2.7719,0.0109,0.0562,199,2.7452
1306,0.0114,0.0455,199,3.5363,0.0086,0.0527,199,2.2959
1307,0.0086,0.0522,199,2.3232,0.0062,0.0544,199,1.5959
1308,0.013,0.0452,199,4.0472,0.0102,0.0507,199,2.835
1309,0.0114,0.0504,199,3.1831,0.0116,0.0556,199,2.9498
1310,0.0124,0.0509,200,3.4527,0.0107,0.0554,200,2.738
1311,0.012,0.0483,199,3.5025,0.0102,0.0542,199,2.6415
1312,0.0105,0.0518,199,2.8568,0.0082,0.0576,199,1.9979
1313,0.013,0.0495,199,3.6982,0.0122,0.0553,199,3.104
1314,0.015,0.0477,199,4.4288,0.0125,0.0522,199,3.3724
1315,0.0134,0.0537,199,3.5134,0.0131,0.0583,199,3.1609
1316,0.0095,0.0548,199,2.4493,0.0092,0.06,199,2.1589
1317,0.009,0.0527,199,2.4198,0.0073,0.0577,199,1.7969
1318,0.0084,0.0516,199,2.3056,0.0079,0.0576,199,1.9434
1319,0.0159,0.052,199,4.307,0.0165,0.0585,199,3.9772
1320,0.0117,0.0556,199,2.9664,0.0122,0.061,199,2.8135
1321,0.0059,0.0467,199,1.7871,0.0067,0.052,199,1.8095
1322,0.0096,0.0517,199,2.6069,0.0057,0.0557,199,1.4345
1323,0.006,0.0505,199,1.6743,0.0041,0.0519,199,1.1105
1324,0.0087,0.0518,199,2.3785,0.007,0.0539,199,1.8363
1325,0.0088,0.0511,199,2.4364,0.0073,0.0567,199,1.8203
1326,0.0083,0.0493,199,2.3714,0.0031,0.053,199,0.8267
1327,0.0122,0.0509,199,3.3882,0.0122,0.0532,199,3.2196
1328,0.0053,0.0566,199,1.3314,0.0038,0.0563,199,0.9451
1329,0.0091,0.0527,199,2.4329,0.0056,0.053,199,1.486
1330,0.0142,0.0543,199,3.6935,0.0141,0.0563,199,3.5306
1331,0.0114,0.0562,199,2.8601,0.0122,0.0613,199,2.8069
1332,0.0131,0.0536,199,3.458,0.0125,0.0554,199,3.1751
1333,0.013,0.0563,199,3.2643,0.0128,0.0617,199,2.9333
1334,0.0102,0.0557,199,2.5843,0.0112,0.0581,199,2.7253
1335,0.014,0.0542,199,3.6556,0.0128,0.0576,199,3.1279
1336,0.016,0.0541,199,4.1705,0.0195,0.0596,199,4.6141
1337,0.0084,0.0527,199,2.2567,0.0058,0.0553,199,1.4738
1338,0.0129,0.0531,199,3.4221,0.0123,0.056,199,3.1089
1339,0.0146,0.0542,199,3.7893,0.0171,0.055,199,4.3936
1340,0.0105,0.0555,199,2.6667,0.0136,0.0596,199,3.2119
1341,0.0111,0.0534,199,2.9369,0.0125,0.058,199,3.0339
1342,0.0055,0.0498,199,1.5667,0.0065,0.055,199,1.6607
1343,0.0081,0.0549,199,2.0748,0.0059,0.0559,199,1.4774
1344,0.0076,0.0538,199,2.0049,0.0092,0.0568,199,2.2916
1345,0.0101,0.0535,199,2.6706,0.0087,0.0569,199,2.1675
1346,0.0093,0.0502,199,2.6021,0.0083,0.057,199,2.055
1347,0.0049,0.051,199,1.3588,0.0067,0.0526,199,1.8025
1348,0.0048,0.0542,199,1.2565,0.0057,0.0555,199,1.4392
1349,0.0091,0.0501,199,2.5624,0.0094,0.0545,199,2.4387
1350,0.0083,0.0513,199,2.2693,0.0104,0.0562,199,2.6175
1351,0.0051,0.0501,199,1.4355,0.0062,0.0532,199,1.6418
1352,0.014,0.0556,199,3.5552,0.0145,0.0582,199,3.5133
1353,0.0025,0.05,199,0.7136,0.0029,0.0511,199,0.8017
1354,0.002,0.0514,199,0.5501,0.0039,0.0546,199,1.0043
1355,0.0065,0.049,199,1.8571,0.0046,0.0567,199,1.1454
1356,0.0025,0.052,199,0.6711,0.0026,0.0538,199,0.6788
1357,0.0063,0.0543,199,1.6315,0.0065,0.0548,199,1.6756
1358,0.0089,0.0518,199,2.4266,0.0089,0.0555,199,2.2687
1359,0.009,0.0511,199,2.4857,0.0077,0.0547,199,1.9903
1400,0.0104,0.0487,199,3.0262,0.0089,0.0556,199,2.2566
1401,0.0109,0.0452,199,3.3952,0.0131,0.0496,199,3.7254
1402,0.0127,0.0549,199,3.2734,0.0127,0.0568,199,3.1441
1403,0.0138,0.052,199,3.7436,0.0134,0.0561,199,3.3723
1404,0.0097,0.0505,199,2.7006,0.0106,0.0518,199,2.8745
1405,0.0081,0.0533,199,2.1473,0.0072,0.0573,199,1.7809
1406,0.0122,0.0534,199,3.2323,0.0136,0.0562,199,3.4054
1407,0.0156,0.0572,199,3.8425,0.014,0.0608,199,3.2343
1408,0.0116,0.0529,199,3.0906,0.0118,0.0588,199,2.8344
1409,0.0103,0.054,199,2.6851,0.0101,0.0579,199,2.461
1410,0.0113,0.0517,199,3.0824,0.0097,0.0567,199,2.4187
1411,0.0097,0.0573,199,2.3904,0.0117,0.0607,199,2.7143
1412,0.0139,0.0561,199,3.4979,0.0134,0.0626,199,3.0138
1413,0.0052,0.0487,199,1.5132,0.0045,0.0557,199,1.1412
1414,0.0104,0.0431,199,3.4073,0.0076,0.0491,199,2.1726
1415,0.0081,0.0477,199,2.4022,0.011,0.0534,199,2.8957
1416,0.0144,0.0511,199,3.9847,0.0132,0.0555,199,3.3465
1417,0.0084,0.0551,199,2.1597,0.0068,0.0552,199,1.7317
1418,0.0102,0.057,199,2.533,0.0083,0.0582,199,2.0197
1419,0.0167,0.0522,199,4.519,0.0181,0.0564,199,4.5165
1420,0.0132,0.0519,199,3.5858,0.0133,0.0572,199,3.2747
1421,0.0097,0.0517,199,2.6339,0.0096,0.056,199,2.4317
1422,0.0128,0.0574,199,3.1463,0.0096,0.0627,199,2.1572
1423,0.0078,0.0561,199,1.9588,0.0062,0.0624,199,1.393
1424,0.0119,0.0484,199,3.4711,0.009,0.0524,199,2.4109
1425,0.0047,0.0489,199,1.3693,0.0058,0.0546,199,1.4914
1426,0.0059,0.0482,199,1.722,0.0045,0.051,199,1.2443
1427,0.0066,0.0492,199,1.8997,0.0031,0.0546,199,0.8135
1428,0.0052,0.0508,199,1.4421,-0.0006,0.0542,199,-0.1524
1429,0.0057,0.0458,199,1.7606,0.0029,0.0493,199,0.8411
1430,0.0142,0.0486,199,4.1098,0.0129,0.051,199,3.5644
1431,0.0072,0.0483,199,2.1074,0.0093,0.0523,199,2.5054
1432,0.0071,0.0496,199,2.0109,0.0057,0.052,199,1.5549
1433,0.0047,0.054,199,1.2168,0.0037,0.0559,199,0.9329
1434,0.0084,0.0494,199,2.3838,0.0077,0.0538,199,2.0186
1435,0.0096,0.0559,199,2.416,0.0082,0.0567,199,2.0517
1436,0.0118,0.0513,199,3.2499,0.0144,0.0558,199,3.6446
1437,0.0085,0.0516,199,2.33,0.0101,0.0537,199,2.6463
1438,0.0068,0.0512,199,1.8696,0.0051,0.0544,199,1.3186
1439,0.0063,0.0508,199,1.7373,0.004,0.055,199,1.0151
1440,0.0105,0.0515,199,2.8669,0.0143,0.0561,199,3.5914
1441,0.0053,0.0463,199,1.6034,0.0074,0.0479,199,2.1813
1442,0.0069,0.0498,199,1.957,0.0054,0.0561,199,1.3611
1443,0.0039,0.0519,199,1.0682,0.002,0.055,199,0.5199
1444,0.0059,0.0537,199,1.5543,0.0065,0.0579,199,1.5755
1445,0.0087,0.0505,199,2.4391,0.006,0.0554,199,1.5237
1446,0.0063,0.0519,199,1.7235,0.0055,0.0542,199,1.4251
1447,0.0057,0.054,199,1.4927,0.0051,0.0568,199,1.2556
1448,0.0033,0.0482,199,0.9668,0.0047,0.0522,199,1.2655
1449,0.0106,0.0537,199,2.7822,0.0114,0.0552,199,2.9085
1450,0.0033,0.0524,199,0.8938,0.0016,0.0555,199,0.4183
1451,0.0018,0.0486,199,0.5295,0.0029,0.0525,199,0.7774
1452,0.0047,0.0542,199,1.2109,0.0059,0.0558,199,1.4904
1453,0.0062,0.0496,199,1.7623,0.0061,0.0541,199,1.5798
1454,0.0075,0.0505,199,2.1053,0.0042,0.0556,199,1.0774
1455,0.01,0.0509,199,2.7673,0.0085,0.0557,199,2.15
1456,0.0062,0.0538,199,1.6131,0.0055,0.0559,199,1.3759
1457,0.0089,0.0539,199,2.3241,0.0083,0.0558,199,2.1056
