minute,ic_mean,ic_std,ic_n,ic_t,rankic_mean,rankic_std,rankic_n,rankic_t
930,0.0354,0.0612,200,8.1765,0.0559,0.0716,200,11.0537
931,0.0215,0.0645,200,4.7144,0.0404,0.0624,200,9.1649
932,0.0232,0.0658,200,4.9776,0.0368,0.0644,200,8.0847
933,0.0237,0.0538,200,6.2258,0.0307,0.0614,200,7.0619
934,0.0195,0.0559,200,4.9265,0.0219,0.0598,200,5.1744
935,0.0159,0.0531,200,4.2189,0.0208,0.0633,200,4.6396
936,0.0204,0.0526,200,5.4816,0.0245,0.0573,200,6.0544
937,0.022,0.0567,200,5.4866,0.0325,0.053,200,8.6717
938,0.0252,0.0551,200,6.4596,0.0181,0.0549,200,4.6657
939,0.0261,0.0557,200,6.6337,0.0261,0.0557,200,6.6262
940,0.0147,0.0539,200,3.8537,0.0272,0.0542,200,7.0828
941,0.0123,0.0526,200,3.3015,0.0142,0.0554,200,3.6176
942,0.0127,0.0487,200,3.6753,0.0141,0.0542,200,3.6867
943,0.0148,0.0563,200,3.7147,0.0168,0.0628,200,3.7893
944,0.0246,0.0546,200,6.3773,0.0247,0.0568,200,6.1553
945,0.0178,0.0546,200,4.6019,0.0158,0.0612,200,3.6617
946,0.014,0.0614,200,3.2218,0.0157,0.0597,200,3.712
947,0.0116,0.0599,200,2.7388,0.0142,0.055,200,3.6577
948,0.0138,0.0522,200,3.7259,0.02,0.0522,200,5.4109
949,0.0151,0.0534,200,4.011,0.0252,0.0534,200,6.6869
950,0.0113,0.0577,200,2.7813,0.0171,0.0516,200,4.6954
951,0.0045,0.057,200,1.1151,0.0094,0.058,200,2.3004
952,0.0071,0.0585,200,1.7187,0.0135,0.0557,200,3.4231
953,0.0126,0.0543,200,3.292,0.01,0.0503,200,2.8128
954,0.0098,0.057,200,2.4231,0.0136,0.0544,200,3.5331
955,0.0122,0.0552,200,3.1203,0.0015,0.0511,200,0.4223
956,0.0094,0.0568,200,2.3425,0.0051,0.0582,200,1.24
957,0.009,0.0505,200,2.5314,0.0062,0.0595,200,1.4777
958,0.0114,0.0566,200,2.841,0.0101,0.0637,200,2.2365
