minute,mean,std,count
930,0.0005927432,0.21702278,77574
931,-0.003690836,0.19708167,79391
932,-0.0046852124,0.20328605,76161
933,0.0020021785,0.20072639,78276
934,-0.00681234,0.2064019,78824
935,-0.0028225027,0.20945883,76003
936,-0.007496052,0.21108536,75665
937,-0.009134695,0.20932202,76040
938,-0.00449614,0.20971993,76454
939,-0.0075749517,0.20890656,76755
940,-0.009225314,0.20763679,76967
941,-0.002122756,0.20754352,75891
942,0.0020833688,0.20789021,76914
943,-0.0002132396,0.20759511,76421
944,-0.0028992859,0.20824283,77347
945,-0.003914914,0.2119269,73437
946,0.0045221522,0.20928228,75144
947,-0.003371824,0.20846815,75547
948,-0.0018753789,0.20840473,75485
949,0.0016470377,0.2106469,75549
950,0.00094435696,0.21226649,74384
951,-0.0020756084,0.21373773,74087
952,-0.00406551,0.21175201,75109
953,-0.0036024507,0.2116669,75134
954,-0.0023686152,0.20997296,76502
955,-0.002817683,0.21095473,75385
956,-0.0055942675,0.21127142,74789
957,0.0023953863,0.2098434,76218
958,-0.0054313396,0.20889997,76770
959,-0.00210243,0.21079384,79077
1000,-0.0028711476,0.2246606,68696
1001,-0.0024939654,0.21911736,72536
1002,-0.0044589774,0.2181034,72563
1003,-0.0012907655,0.21489546,74071
1004,0.00049302465,0.21363148,74456
1005,-0.0043356377,0.21971698,71753
1006,-0.008758051,0.21787834,72665
1007,0.0037232572,0.2180769,72617
1008,-0.0048082964,0.21569237,73484
1009,-0.0022121163,0.21493697,74491
1010,0.00079454423,0.21618238,72778
1011,0.003865347,0.21494184,72901
1012,0.001924689,0.21647254,73170
1013,-0.00063090224,0.21375261,74240
1014,0.0054430654,0.21320072,75552
1015,0.0030971495,0.21636716,73402
1016,0.0011540132,0.21520977,74191
1017,-0.00047031767,0.21510372,74131
1018,0.0027822785,0.21271032,75069
1019,-0.00021663973,0.21293418,75817
1020,0.0014151474,0.21384884,73302
1021,-0.004400626,0.2162152,73550
1022,0.000121556615,0.21510135,74176
1023,-0.00610763,0.21476106,75122
1024,-0.0018833234,0.21523595,74853
1025,-0.00074680074,0.21375404,74812
1026,-0.0048397537,0.21425875,74641
1027,-0.0017337619,0.21265472,75610
1028,-0.0070977537,0.21251625,75128
1029,-0.0018773668,0.21078452,77531
1030,-0.0033277634,0.21419482,73860
1031,-0.0074949744,0.21450938,74059
1032,-0.009225159,0.21403232,75083
1033,-0.0058930395,0.21252298,75448
1034,-0.0018063817,0.21121834,77014
1035,0.0016639598,0.21203758,74952
1036,-0.0060275476,0.2144685,73967
1037,-0.0029853405,0.21455196,74705
1038,-0.0059135235,0.2133713,75820
1039,-0.0029084391,0.21137217,76715
1040,-0.005067741,0.21314058,74652
1041,-0.001027591,0.21367072,73897
1042,-0.0060503623,0.21353738,75131
1043,-0.004353623,0.21272808,74956
1044,-0.0019516945,0.21142466,75990
1045,-0.0066966126,0.21279815,74864
1046,0.0019092261,0.21359347,74348
1047,0.00018938146,0.21310537,75492
1048,-0.0026376802,0.20998417,76010
1049,-0.0022423954,0.21051559,76829
1050,0.00040585644,0.2136443,74580
1051,-0.004940095,0.21364827,74762
1052,-0.0019745184,0.21339995,74770
1053,-0.0039513297,0.21147645,76001
1054,-0.0042896452,0.21237625,75996
1055,-0.0038611675,0.21290703,75547
1056,0.00037229864,0.21315253,75006
1057,-0.003340376,0.21205887,76068
1058,-0.0023673368,0.21074213,76504
1059,-0.00054413226,0.20948227,78033
1100,-0.007665684,0.21527043,73003
1101,-0.004907094,0.2145726,74132
1102,-0.0043752836,0.2128716,74948
1103,-0.007680743,0.21281035,75531
1104,-0.006299772,0.21134485,76690
1105,-0.0038950753,0.2121617,75019
1106,-0.006267481,0.21356666,74043
1107,-0.0012661375,0.21359508,75489
1108,-0.00051606045,0.21233311,76249
1109,-0.003143558,0.2114562,77043
1110,-0.009978018,0.21290275,75363
1111,-0.0025811016,0.21398382,75091
1112,-0.0022598908,0.21289562,76009
1113,-0.0062315776,0.21176955,76504
1114,0.00084262487,0.21167876,76416
1115,-0.0006593187,0.21138568,75109
1116,0.0010311761,0.21264529,75196
1117,-0.0040406124,0.21125291,76430
1118,-0.00242339,0.20943028,76360
1119,-0.002750643,0.2093162,77402
1120,-0.0013702067,0.21087962,75870
1121,-0.0021751418,0.21191356,75102
1122,-0.0020644092,0.21321358,75538
1123,-0.0074163503,0.21159336,76036
1124,-0.0038440642,0.2108947,77105
1125,0.0016735321,0.21243595,75506
1126,0.00015782956,0.21343714,75580
1127,0.0023642364,0.21287596,76521
1128,0.0019336363,0.21176732,76157
1129,0.0021322947,0.21148308,77360
1130,-0.004406339,0.21501939,75054
1131,-0.0036900656,0.21464303,75620
1132,-0.004997798,0.21278183,76536
1133,-0.0021519791,0.21224743,76969
1134,-0.006411383,0.21263118,77308
1135,-0.0020184813,0.2117581,76121
1136,-0.0040785945,0.21227154,75656
1137,-0.0031099096,0.21254247,77393
1138,-0.005931551,0.2114895,77214
1139,-0.0037167987,0.21101213,77138
1140,-0.0016845603,0.21253486,75904
1141,-0.0016381878,0.21159092,76358
1142,-0.002574605,0.21250208,77127
1143,-0.007876026,0.21126242,78041
1144,-0.00221324,0.20924951,78287
1145,-0.0007226363,0.20965438,77102
1146,-0.00022066319,0.21038118,76944
1147,-0.0044180155,0.20967107,78041
1148,-0.00247431,0.2091376,78161
1149,-0.0034337956,0.2076171,78860
1150,0.0014771847,0.21121721,76929
1151,-0.0015267356,0.2110094,77307
1152,-0.0015430017,0.21092741,77683
1153,-0.0038392546,0.21262565,77708
1154,-0.007385665,0.20975281,78336
1155,-0.0018703261,0.21110883,76621
1156,-0.0023354087,0.21246766,77234
