metric,all_non_null,in_range_-0.5_0.5
count,39844073.0,28869913.0
null_count,7765685.0,
null_pct,16.311120506010553,
outlier_count_outside_-0.5_0.5,10974160.0,0.0
outlier_pct,27.54276652389428,0.0
p01,-2.8702436065673824,-0.472631573677063
p05,-1.2110207796096801,-0.3791666626930237
p10,-0.7051593542098998,-0.2922475039958954
p25,-0.22847826778888702,-0.1414516121149063
p50,-0.005301724188029766,-0.003255814081057906
p75,0.21035511791706085,0.13306547701358795
p90,0.6767857074737549,0.28419190645217896
p95,1.1788409471511834,0.37384073138236995
p99,2.815124187469486,0.4712499976158142
mean,-6935.50537109375,-0.003628395264968276
std,204549664.0,0.21392475068569183
min,-284648931328.0,-0.5
max,393954197504.0,0.5
skewness,121.47651272945423,0.011237806771929771
kurtosis_excess,inf,-0.307757513226973
