minute,ic_mean,ic_std,ic_n,ic_t,rankic_mean,rankic_std,rankic_n,rankic_t
930,0.0124,0.0885,249,2.2103,0.0909,0.0992,249,14.4529
931,0.0103,0.1063,249,1.5337,0.064,0.1041,249,9.7052
932,0.0039,0.1168,249,0.521,0.0494,0.1217,249,6.4002
933,0.0101,0.1131,249,1.4063,0.056,0.1177,249,7.5086
934,0.0061,0.1103,249,0.8731,0.0481,0.111,249,6.8374
935,0.0033,0.1118,249,0.4628,0.0492,0.1123,249,6.9205
936,0.0183,0.1185,249,2.432,0.0587,0.1221,249,7.5866
937,0.01,0.113,249,1.3997,0.0459,0.1067,249,6.7912
938,0.0261,0.1094,249,3.7634,0.0532,0.1155,249,7.272
939,-0.007,0.1093,249,-1.0101,0.0393,0.1025,249,6.0418
940,0.009,0.1237,249,1.1496,0.0373,0.1214,249,4.8467
941,0.0095,0.1092,249,1.3734,0.0404,0.1091,249,5.8474
942,0.0088,0.1244,249,1.1209,0.0407,0.1177,249,5.4537
943,0.0069,0.1193,249,0.9161,0.039,0.1228,249,5.0148
944,0.0081,0.1171,249,1.0872,0.0365,0.1155,249,4.9934
945,0.0191,0.1145,249,2.6279,0.0342,0.1106,249,4.8843
946,0.0022,0.1111,249,0.3162,0.0229,0.1247,249,2.9013
947,0.0178,0.1185,249,2.3643,0.0364,0.1237,249,4.6451
948,0.0077,0.1284,249,0.941,0.0322,0.1357,249,3.7453
949,-0.0038,0.1198,249,-0.5031,0.0162,0.1172,249,2.1856
950,-0.0007,0.1247,249,-0.0927,0.018,0.1239,249,2.2876
951,0.0091,0.1248,249,1.1519,0.0227,0.1301,249,2.7491
952,0.0094,0.1249,249,1.1879,0.0291,0.1226,249,3.7497
953,-0.0057,0.1232,249,-0.7276,0.0254,0.1214,249,3.3058
954,-0.0025,0.1211,249,-0.327,0.0215,0.115,249,2.9502
955,0.0131,0.1181,249,1.7468,0.0282,0.1219,249,3.6561
956,0.0195,0.1194,249,2.5708,0.033,0.1283,249,4.065
957,0.012,0.1153,249,1.6413,0.026,0.12,249,3.4186
958,0.0125,0.1067,249,1.8431,0.0331,0.1114,249,4.6861
959,0.0196,0.1049,249,2.9488,0.0495,0.1053,249,7.4173
1000,0.0081,0.1221,249,1.0485,0.0272,0.1383,249,3.1076
1001,-0.0012,0.1129,249,-0.1659,0.0162,0.1203,249,2.1234
1002,0.0163,0.1091,249,2.352,0.0291,0.1314,249,3.4931
1003,0.0095,0.1115,249,1.3373,0.0232,0.1242,249,2.9529
1004,0.0097,0.1075,249,1.43,0.0205,0.1077,249,3.0092
1005,0.0055,0.1186,249,0.7338,0.0248,0.1402,249,2.7884
1006,0.0071,0.117,249,0.9544,0.0285,0.1325,249,3.3954
1007,0.0282,0.1121,249,3.9682,0.0447,0.1245,249,5.6592
1008,-0.0019,0.1087,249,-0.2829,0.0227,0.1239,249,2.8903
1009,0.0172,0.1131,249,2.3984,0.0365,0.1185,249,4.8557
1010,0.015,0.1188,249,1.9965,0.0316,0.1318,249,3.7787
1011,0.0195,0.1155,249,2.6599,0.0406,0.128,249,5.011
1012,0.0158,0.1234,249,2.0257,0.0429,0.1294,249,5.2297
1013,0.0096,0.1234,249,1.232,0.0331,0.1277,249,4.09
1014,0.0057,0.1237,249,0.7317,0.0276,0.1293,249,3.3651
1015,0.019,0.1257,249,2.3837,0.038,0.1227,249,4.8905
1016,0.009,0.1163,249,1.2245,0.025,0.1196,249,3.298
1017,-0.0024,0.1212,249,-0.3096,0.0183,0.1315,249,2.1931
1018,-0.0029,0.1296,249,-0.3531,0.0185,0.1368,249,2.1332
1019,0.0022,0.1187,249,0.2874,0.0315,0.1277,249,3.8968
1020,0.0084,0.1269,249,1.0482,0.0275,0.1386,249,3.1343
1021,0.0045,0.1166,249,0.6122,0.0265,0.1214,249,3.4382
1022,0.0049,0.1231,249,0.6234,0.0338,0.1328,249,4.0182
1023,0.0054,0.117,249,0.7306,0.0286,0.1238,249,3.6525
1024,0.0206,0.1127,249,2.8835,0.0411,0.1302,249,4.9766
1025,0.0086,0.1176,249,1.1561,0.0328,0.1273,249,4.0691
1026,0.0069,0.1354,249,0.8066,0.0291,0.1411,249,3.2561
1027,-0.0038,0.128,249,-0.4716,0.0211,0.131,249,2.5468
1028,0.0112,0.1153,249,1.5271,0.0304,0.1307,249,3.6752
1029,0.0049,0.1144,249,0.6709,0.0279,0.108,249,4.074
1030,-0.0013,0.1066,249,-0.1889,0.0228,0.1226,249,2.9319
1031,0.0052,0.1157,249,0.7039,0.0236,0.1175,249,3.1709
1032,0.0187,0.1145,249,2.5776,0.0372,0.1229,249,4.7774
1033,0.011,0.1043,249,1.6668,0.0316,0.1174,249,4.2449
1034,0.0074,0.1062,249,1.0976,0.0322,0.1155,249,4.4053
1035,0.0213,0.1087,249,3.0905,0.0398,0.1233,249,5.0968
1036,0.0255,0.1307,249,3.0752,0.0457,0.1355,249,5.325
1037,0.0118,0.1243,249,1.4927,0.0382,0.1328,249,4.5356
1038,0.0162,0.1096,249,2.3315,0.0363,0.1205,249,4.7542
1039,0.0272,0.109,249,3.9412,0.0518,0.1047,249,7.8114
1040,0.0244,0.1175,249,3.2741,0.0411,0.1208,249,5.3699
1041,0.0166,0.1332,249,1.9653,0.0386,0.1312,249,4.6448
1042,0.0011,0.1113,249,0.1624,0.0204,0.1282,249,2.5072
1043,0.0268,0.118,249,3.5813,0.0425,0.1201,249,5.5794
1044,0.0174,0.1163,249,2.3558,0.0497,0.1186,249,6.6141
1045,0.0159,0.1222,249,2.0535,0.0409,0.1207,249,5.3487
1046,0.0249,0.1212,249,3.2383,0.0491,0.1241,249,6.2444
1047,0.0147,0.1173,249,1.9809,0.0381,0.1241,249,4.849
1048,0.008,0.1195,249,1.0535,0.0307,0.1187,249,4.0769
1049,0.0083,0.1169,249,1.1234,0.0286,0.1191,249,3.7835
