minute,ic_mean,ic_std,ic_n,ic_t,rankic_mean,rankic_std,rankic_n,rankic_t
931,-0.0024,0.078,250,-0.4817,-0.0076,0.082,250,-1.4602
932,-0.0039,0.0967,250,-0.6326,-0.009,0.0989,250,-1.4314
933,-0.0107,0.0988,250,-1.7157,-0.017,0.1006,250,-2.6739
934,-0.0063,0.0866,250,-1.1499,-0.0122,0.0904,250,-2.136
935,-0.0142,0.0927,250,-2.4158,-0.0187,0.0966,250,-3.0653
936,-0.026,0.0984,250,-4.1807,-0.0304,0.0971,250,-4.9515
937,-0.0166,0.0875,250,-3.0091,-0.0206,0.0898,250,-3.6317
938,-0.0189,0.0916,250,-3.2543,-0.0198,0.0914,250,-3.4296
939,-0.0101,0.0863,250,-1.8522,-0.0162,0.0862,250,-2.9762
940,-0.0088,0.0891,250,-1.5644,-0.0125,0.0888,250,-2.2327
941,-0.0167,0.0886,250,-2.974,-0.0219,0.09,250,-3.8489
942,-0.0169,0.0919,250,-2.9138,-0.0215,0.0919,250,-3.6956
943,-0.0137,0.104,250,-2.0789,-0.0178,0.104,250,-2.7049
944,-0.0131,0.093,250,-2.2342,-0.0179,0.0932,250,-3.041
945,-0.0125,0.0924,250,-2.1379,-0.0158,0.0905,250,-2.7596
946,-0.0006,0.0998,250,-0.0945,-0.0031,0.0985,250,-0.504
947,-0.0098,0.1001,250,-1.548,-0.0128,0.1006,250,-2.0142
948,-0.0095,0.0995,250,-1.5163,-0.0138,0.0992,250,-2.2002
949,0.0038,0.0966,250,0.618,0.0002,0.0985,250,0.0352
950,0.0018,0.097,250,0.2946,-0.0001,0.0973,250,-0.0224
951,-0.0072,0.1073,250,-1.0595,-0.0092,0.1097,250,-1.3276
952,-0.0082,0.0966,250,-1.3438,-0.0086,0.0955,250,-1.4294
953,-0.0026,0.0914,250,-0.4438,-0.004,0.0886,250,-0.7174
954,-0.007,0.0922,250,-1.2069,-0.0081,0.0939,250,-1.3699
955,-0.0103,0.0978,250,-1.6711,-0.0131,0.0976,250,-2.1251
956,-0.0113,0.1014,250,-1.7581,-0.0126,0.1009,250,-1.9728
957,-0.0127,0.095,250,-2.1143,-0.0147,0.0971,250,-2.3997
958,-0.0129,0.0947,250,-2.1593,-0.0157,0.095,250,-2.613
959,-0.0231,0.0838,250,-4.359,-0.0285,0.0844,250,-5.3442
1000,-0.0144,0.1144,250,-1.9929,-0.0182,0.1168,250,-2.4692
1001,-0.0003,0.0978,250,-0.0418,-0.0047,0.0981,250,-0.7607
1002,-0.0104,0.1052,250,-1.5551,-0.0141,0.1072,250,-2.0844
1003,-0.0072,0.1019,250,-1.1134,-0.0103,0.1042,250,-1.5599
1004,-0.0037,0.0882,250,-0.6644,-0.0058,0.0886,250,-1.034
1005,-0.0017,0.1114,250,-0.2411,-0.0039,0.1131,250,-0.542
1006,-0.0091,0.1079,250,-1.3371,-0.0111,0.1115,250,-1.57
1007,-0.021,0.0991,250,-3.3534,-0.0214,0.1022,250,-3.3138
1008,-0.0018,0.1032,250,-0.2763,-0.0082,0.1061,250,-1.2228
1009,-0.0176,0.0973,250,-2.8523,-0.0188,0.0972,250,-3.0525
1010,-0.0127,0.1041,250,-1.9339,-0.0157,0.1034,250,-2.4018
1011,-0.0186,0.0978,250,-3.015,-0.0192,0.1003,250,-3.0321
1012,-0.0202,0.1039,250,-3.0714,-0.0213,0.1077,250,-3.125
1013,-0.0062,0.1013,250,-0.9752,-0.0086,0.0979,250,-1.3807
1014,-0.0001,0.1017,250,-0.013,-0.0036,0.1019,250,-0.5584
1015,-0.0118,0.1012,250,-1.8404,-0.0155,0.0977,250,-2.5169
1016,-0.0049,0.0938,250,-0.8323,-0.0065,0.0964,250,-1.0616
1017,0.0083,0.1011,250,1.3004,0.0025,0.1039,250,0.3728
1018,0.0025,0.104,250,0.3858,-0.0017,0.104,250,-0.2647
