minute,ic_mean,ic_std,ic_n,ic_t,rankic_mean,rankic_std,rankic_n,rankic_t
931,0.0069,0.0452,250,2.4104,0.0125,0.0521,250,3.8042
932,0.0105,0.0442,250,3.7655,0.0129,0.0495,250,4.1186
933,0.0116,0.0434,250,4.2165,0.0147,0.0498,250,4.6678
934,0.018,0.0459,250,6.218,0.0215,0.047,250,7.2409
935,0.0132,0.0458,250,4.5616,0.0126,0.0496,250,4.0192
936,0.0067,0.0429,250,2.4488,0.011,0.0457,250,3.8161
937,0.0125,0.0427,250,4.6303,0.0146,0.05,250,4.6214
938,0.0102,0.0456,250,3.5435,0.0104,0.0512,250,3.2174
939,0.0099,0.0438,250,3.5657,0.0129,0.0496,250,4.1206
940,0.0142,0.041,250,5.4533,0.0157,0.0517,250,4.7853
941,0.0102,0.0473,250,3.4237,0.0101,0.0539,250,2.9589
942,0.0087,0.0501,250,2.7294,0.0088,0.0563,250,2.4744
943,0.009,0.0493,250,2.8774,0.0105,0.0551,250,3.0161
944,0.0115,0.0508,250,3.5659,0.0134,0.0529,250,4.0188
945,0.0134,0.0475,250,4.4727,0.0149,0.0538,250,4.3773
946,0.0103,0.0496,250,3.2911,0.013,0.0555,250,3.7055
947,0.0123,0.0507,250,3.8373,0.0152,0.0574,250,4.1935
948,0.011,0.049,250,3.5345,0.0148,0.0544,250,4.2929
949,0.0158,0.0507,250,4.937,0.0173,0.0565,250,4.8261
950,0.0111,0.0471,250,3.7154,0.0119,0.0528,250,3.5583
951,0.0151,0.0531,250,4.4845,0.0125,0.0613,250,3.2158
952,0.0167,0.0508,250,5.2028,0.0174,0.0575,250,4.7818
953,0.0115,0.0498,250,3.6553,0.0113,0.0557,250,3.206
954,0.0095,0.0484,250,3.1056,0.0088,0.0543,250,2.5744
955,0.0049,0.0541,250,1.4341,0.0041,0.0581,250,1.126
956,0.0086,0.0526,250,2.5793,0.0114,0.0603,250,2.9814
957,0.0061,0.0499,250,1.9249,0.0076,0.0592,250,2.0269
958,0.005,0.0538,250,1.4735,0.0028,0.0583,250,0.7501
959,0.0008,0.0518,250,0.2379,-0.0003,0.0564,250,-0.0756
1000,0.0044,0.0475,250,1.4474,0.007,0.0555,250,2.006
1001,0.009,0.0521,250,2.7417,0.0109,0.0565,250,3.0607
1002,0.0101,0.054,250,2.9468,0.0105,0.0584,250,2.8483
1003,0.003,0.0528,250,0.9043,0.0056,0.0602,250,1.4702
1004,0.0055,0.0534,250,1.6149,0.0064,0.058,250,1.7357
1005,0.0098,0.0533,250,2.896,0.0086,0.062,250,2.1802
1006,0.0081,0.0542,250,2.3619,0.0055,0.0598,250,1.4643
1007,0.0051,0.055,250,1.455,0.0067,0.062,250,1.7022
1008,0.0085,0.0516,250,2.6007,0.0098,0.0588,250,2.6403
1009,0.0064,0.0541,250,1.8621,0.0049,0.0612,250,1.2717
1010,0.0062,0.0536,250,1.8349,0.0066,0.0606,250,1.7157
1011,0.0081,0.0519,250,2.4673,0.01,0.0596,250,2.6419
1012,0.0008,0.0524,250,0.2526,0.0025,0.0587,250,0.6652
1013,0.0085,0.0518,250,2.5929,0.0125,0.0578,250,3.4305
1014,0.0061,0.0549,250,1.7624,0.0085,0.0595,250,2.2491
1015,0.0078,0.0554,250,2.2316,0.0096,0.0601,250,2.5392
1016,0.0066,0.0529,250,1.9826,0.0111,0.0599,250,2.9293
