minute,ic_mean,ic_std,ic_n,ic_t,rankic_mean,rankic_std,rankic_n,rankic_t
931,0.0089,0.1231,250,1.1445,0.032,0.1136,250,4.4482
932,-0.0048,0.1426,250,-0.5341,0.0129,0.1305,250,1.5673
933,0.0067,0.1608,250,0.6584,0.0267,0.1557,250,2.7143
934,0.0056,0.1657,250,0.5385,0.0241,0.1587,250,2.4044
935,0.0019,0.1637,250,0.1821,0.0178,0.1487,250,1.8929
936,0.014,0.1571,250,1.4078,0.031,0.1432,250,3.4192
937,0.0249,0.1532,250,2.5725,0.0353,0.1353,250,4.1218
938,0.0196,0.1538,250,2.0199,0.0244,0.1379,250,2.7946
939,0.0067,0.1463,250,0.7243,0.0158,0.1285,250,1.95
940,0.0063,0.1419,250,0.6997,0.0129,0.1198,250,1.6975
941,0.0041,0.1513,250,0.4324,0.0183,0.1287,250,2.251
942,0.0176,0.1643,250,1.6986,0.033,0.1398,250,3.7357
943,0.0186,0.1672,250,1.7555,0.035,0.1435,250,3.8626
944,0.0202,0.1653,250,1.9322,0.032,0.1417,250,3.5708
945,0.0065,0.1576,250,0.6531,0.0167,0.1367,250,1.93
946,0.0054,0.1573,250,0.5395,0.0131,0.1374,250,1.5126
947,-0.0012,0.1691,250,-0.1167,0.0075,0.1484,250,0.8015
948,0.0013,0.1646,250,0.1266,0.0115,0.1459,250,1.242
949,-0.0137,0.1701,250,-1.2759,-0.0007,0.1504,250,-0.0759
950,-0.0141,0.1682,250,-1.3208,-0.0008,0.1486,250,-0.0865
951,-0.0063,0.1677,250,-0.5962,0.0042,0.1479,250,0.4465
952,0.0028,0.1699,250,0.2612,0.01,0.1383,250,1.1402
953,-0.0122,0.1742,250,-1.1101,-0.0023,0.1402,250,-0.2561
954,-0.012,0.1701,250,-1.1131,0.0002,0.1361,250,0.0252
955,0.0006,0.1704,250,0.0526,0.0113,0.1395,250,1.2773
956,0.0189,0.1756,250,1.6977,0.0245,0.1564,250,2.4737
957,0.0208,0.1693,250,1.9394,0.0296,0.1518,250,3.0846
958,0.0173,0.1652,250,1.6601,0.0292,0.1442,250,3.1995
959,0.0284,0.1633,250,2.7531,0.0418,0.1449,250,4.5637
1000,0.0296,0.1604,250,2.9205,0.0353,0.1373,250,4.0643
1001,0.0098,0.1551,250,1.0004,0.0222,0.1356,250,2.5927
1002,0.0097,0.1432,250,1.0715,0.0165,0.1289,250,2.0271
1003,0.0117,0.1465,250,1.2673,0.0182,0.1397,250,2.0644
1004,0.0078,0.1526,250,0.811,0.0107,0.1373,250,1.2314
1005,0.0005,0.1538,250,0.0547,0.0075,0.1409,250,0.8474
1006,-0.0016,0.1595,250,-0.1635,0.0039,0.1455,250,0.4275
1007,0.0143,0.1663,250,1.3605,0.0185,0.1506,250,1.9413
1008,0.0057,0.1661,250,0.5472,0.0132,0.1451,250,1.4342
1009,0.0048,0.1624,250,0.4648,0.0128,0.1374,250,1.4675
1010,-0.0017,0.1655,250,-0.1653,0.0073,0.146,250,0.7892
1011,0.0131,0.1722,250,1.207,0.0221,0.1518,250,2.3051
1012,0.0332,0.173,250,3.0369,0.0443,0.1577,250,4.4371
1013,0.0184,0.1569,250,1.8582,0.0331,0.1447,250,3.619
1014,0.0102,0.1565,250,1.0324,0.0215,0.1465,250,2.3181
1015,0.0028,0.1552,250,0.2845,0.0155,0.148,250,1.6572
1016,-0.0101,0.161,250,-0.9908,0.0019,0.1515,250,0.1932
1017,-0.0166,0.1661,250,-1.5782,-0.0046,0.1547,250,-0.4751
1018,-0.0222,0.1778,250,-1.9766,-0.0136,0.1622,250,-1.3266
1019,-0.0089,0.1693,250,-0.8348,-0.0018,0.1638,250,-0.1744
1020,0.0023,0.1801,250,0.2053,0.0088,0.1662,250,0.8335
1021,-0.0015,0.1873,250,-0.1262,0.0052,0.1722,250,0.4804
1022,0.0003,0.1747,250,0.0234,0.0103,0.1546,250,1.0565
1023,0.0059,0.1714,250,0.5433,0.0151,0.1474,250,1.6198
1024,0.0095,0.1628,250,0.9237,0.0193,0.1386,250,2.1967
1025,0.0067,0.1641,250,0.6462,0.0177,0.1462,250,1.9183
1026,0.0137,0.1745,250,1.2422,0.0179,0.1621,250,1.7467
1027,0.0175,0.1728,250,1.6029,0.021,0.1578,250,2.1066
