minute,ic_mean,ic_std,ic_n,ic_t,rankic_mean,rankic_std,rankic_n,rankic_t
931,-0.0258,0.1151,250,-3.5414,-0.0304,0.1087,250,-4.4306
932,-0.0114,0.1344,250,-1.3413,-0.0148,0.1247,250,-1.8798
933,-0.0222,0.1479,250,-2.3704,-0.0279,0.1473,250,-2.9967
934,-0.0164,0.1466,250,-1.7684,-0.0222,0.146,250,-2.4004
935,-0.012,0.1453,250,-1.309,-0.0164,0.134,250,-1.9377
936,-0.023,0.1457,250,-2.4984,-0.0301,0.1349,250,-3.5316
937,-0.0284,0.1384,250,-3.2501,-0.0317,0.1287,250,-3.8888
938,-0.0211,0.1389,250,-2.4016,-0.0225,0.1292,250,-2.7547
939,-0.0164,0.1318,250,-1.9663,-0.0161,0.1191,250,-2.1326
940,-0.0093,0.1321,250,-1.118,-0.0069,0.116,250,-0.9428
941,-0.0075,0.1329,250,-0.8899,-0.0111,0.1176,250,-1.4991
942,-0.0136,0.1402,250,-1.5357,-0.0192,0.1244,250,-2.4403
943,-0.0176,0.1391,250,-1.9951,-0.0266,0.1299,250,-3.2334
944,-0.0195,0.149,250,-2.0729,-0.0242,0.1285,250,-2.9798
945,-0.0121,0.1538,250,-1.2392,-0.0139,0.1327,250,-1.6585
946,-0.0077,0.1591,250,-0.7614,-0.0072,0.1455,250,-0.7777
947,-0.0075,0.1643,250,-0.7206,-0.0075,0.1455,250,-0.8199
948,-0.0172,0.1652,250,-1.6476,-0.0159,0.1476,250,-1.6988
949,0.0052,0.1629,250,0.5022,0.0041,0.1481,250,0.436
950,0.0069,0.1567,250,0.6934,0.0094,0.1415,250,1.0553
951,-0.0009,0.1631,250,-0.0916,-0.0013,0.147,250,-0.141
952,0.0008,0.1584,250,0.0804,0.0007,0.1405,250,0.079
953,0.0089,0.1571,250,0.8931,0.0081,0.141,250,0.9127
954,0.0094,0.1557,250,0.9506,0.0065,0.1393,250,0.7401
955,0.0083,0.1585,250,0.8323,0.0071,0.1401,250,0.7988
956,-0.0085,0.1544,250,-0.8674,-0.0121,0.1418,250,-1.3479
957,-0.0088,0.1543,250,-0.8964,-0.0129,0.1421,250,-1.4392
958,-0.0096,0.1511,250,-1.008,-0.0145,0.131,250,-1.7557
959,-0.0221,0.1487,250,-2.3543,-0.0276,0.1331,250,-3.2809
1000,-0.022,0.1646,250,-2.112,-0.024,0.1555,250,-2.444
1001,-0.0138,0.1638,250,-1.3291,-0.0145,0.1479,250,-1.5471
1002,-0.0114,0.1691,250,-1.0619,-0.0109,0.1621,250,-1.0643
1003,-0.0136,0.1652,250,-1.2998,-0.0139,0.1588,250,-1.3811
1004,-0.0144,0.1662,250,-1.3746,-0.0144,0.158,250,-1.4381
1005,-0.0158,0.1705,250,-1.4652,-0.0133,0.1525,250,-1.3802
1006,-0.0179,0.1775,250,-1.5963,-0.0158,0.1604,250,-1.5586
1007,-0.0273,0.1742,250,-2.4784,-0.028,0.1595,250,-2.7701
1008,-0.0233,0.159,250,-2.3192,-0.0277,0.1465,250,-2.985
1009,-0.0186,0.1562,250,-1.8877,-0.0266,0.1382,250,-3.0376
1010,-0.0173,0.1637,250,-1.6664,-0.0216,0.1446,250,-2.3575
1011,-0.0227,0.1621,250,-2.2157,-0.0289,0.1475,250,-3.0937
1012,-0.0363,0.1733,250,-3.3135,-0.0428,0.1562,250,-4.3317
1013,-0.0184,0.1689,250,-1.7267,-0.0252,0.1486,250,-2.6842
1014,0.0006,0.1707,250,0.0598,-0.0124,0.1528,250,-1.285
1015,-0.0095,0.1689,250,-0.8931,-0.0207,0.1457,250,-2.2435
1016,-0.0058,0.1644,250,-0.5579,-0.0151,0.1512,250,-1.582
1017,-0.0033,0.1561,250,-0.337,-0.0095,0.1493,250,-1.0037
1018,0.0062,0.1488,250,0.663,0.0038,0.1374,250,0.4408
1019,-0.0043,0.1632,250,-0.421,-0.0059,0.144,250,-0.6525
1020,-0.014,0.1545,250,-1.4344,-0.0165,0.1404,250,-1.8532
1021,-0.0222,0.1582,250,-2.2224,-0.0168,0.1487,250,-1.7863
1022,-0.0171,0.1497,250,-1.8101,-0.0195,0.1449,250,-2.13
1023,-0.0197,0.1674,250,-1.8584,-0.0191,0.1563,250,-1.9307
1024,-0.0284,0.1717,250,-2.6174,-0.0332,0.1526,250,-3.4445
1025,-0.0214,0.1693,250,-2.0027,-0.0289,0.151,250,-3.0312
1026,-0.0086,0.1694,250,-0.8068,-0.0227,0.1575,250,-2.2821
1027,-0.0023,0.1696,250,-0.2122,-0.0137,0.1627,250,-1.3329
1028,0.0064,0.1609,250,0.6252,-0.008,0.1514,250,-0.832
1029,0.0032,0.1512,250,0.3321,-0.0063,0.138,250,-0.7186
1030,0.0073,0.1518,250,0.7553,0.0031,0.1293,250,0.3814
1031,0.0134,0.1524,250,1.3872,0.0075,0.1316,250,0.9053
1032,0.0036,0.1575,250,0.3606,-0.005,0.1349,250,-0.5917
1033,0.0049,0.1535,250,0.5017,-0.0069,0.135,250,-0.8088
1034,0.0119,0.1502,250,1.2576,0.0035,0.1333,250,0.4179
1035,0.0,0.1444,250,0.004,-0.0107,0.1324,250,-1.282
1036,-0.0158,0.1493,250,-1.6684,-0.0203,0.1452,250,-2.2096
1037,-0.0254,0.1529,250,-2.6225,-0.0273,0.1441,250,-2.9962
1038,-0.0284,0.1496,250,-3.0063,-0.0342,0.1432,250,-3.7782
1039,-0.037,0.148,250,-3.9496,-0.042,0.1388,250,-4.7847
1040,-0.0378,0.1564,250,-3.8179,-0.0447,0.1367,250,-5.1696
1041,-0.029,0.1594,250,-2.8771,-0.0343,0.1404,250,-3.8611
1042,-0.0307,0.1565,250,-3.0976,-0.0355,0.1438,250,-3.9044
1043,-0.0315,0.1522,250,-3.2762,-0.0388,0.1425,250,-4.3094
1044,-0.0423,0.1603,250,-4.1762,-0.046,0.1473,250,-4.9406
1045,-0.0348,0.162,250,-3.4001,-0.0421,0.1466,250,-4.5387
1046,-0.0359,0.172,250,-3.2979,-0.0428,0.1515,250,-4.4731
1047,-0.0375,0.1617,250,-3.6672,-0.0412,0.1422,250,-4.5773
1048,-0.0284,0.1602,250,-2.8068,-0.0303,0.1413,250,-3.3887
1049,-0.0255,0.1495,250,-2.6936,-0.0232,0.1298,250,-2.832
1050,-0.0052,0.1445,250,-0.5713,-0.008,0.1314,250,-0.9609
1051,0.024,0.1463,250,2.5951,0.0187,0.1291,250,2.2837
1052,0.0211,0.1617,250,2.0664,0.0146,0.1495,250,1.544
1053,-0.0033,0.1605,250,-0.3204,-0.0051,0.1517,250,-0.534
1054,-0.0216,0.1682,250,-2.0294,-0.0194,0.1623,250,-1.8902
1055,-0.0238,0.1615,250,-2.326,-0.0182,0.1562,250,-1.8405
1056,-0.0038,0.1376,250,-0.4317,-0.0001,0.1251,250,-0.0156
1057,-0.0028,0.1354,250,-0.3298,0.0011,0.1226,250,0.1434
1058,-0.0052,0.1437,250,-0.5743,-0.0021,0.1397,250,-0.2416
1059,-0.0142,0.1469,250,-1.5279,-0.0079,0.1406,250,-0.8842
1100,-0.0201,0.1706,250,-1.8641,-0.0146,0.1602,250,-1.4409
1101,-0.0141,0.1702,250,-1.308,-0.0113,0.1555,250,-1.1452
1102,-0.0216,0.1814,250,-1.8832,-0.0205,0.1631,250,-1.9825
1103,-0.0052,0.1674,250,-0.4868,-0.0066,0.1459,250,-0.7122
1104,-0.0101,0.155,250,-1.03,-0.0205,0.1384,250,-2.3374
1105,-0.0057,0.1557,250,-0.5738,-0.0187,0.139,250,-2.1323
1106,-0.0034,0.1612,250,-0.3363,-0.0128,0.1409,250,-1.44
1107,0.0034,0.1573,250,0.3382,-0.0081,0.1409,250,-0.9037
1108,0.0091,0.1612,250,0.8917,-0.0034,0.1509,250,-0.3554
1109,0.0087,0.1658,250,0.827,-0.0042,0.1494,250,-0.4459
1110,0.0148,0.161,250,1.4489,-0.0034,0.146,250,-0.3634
1111,0.0061,0.1684,250,0.5754,-0.0072,0.15,250,-0.759
1112,0.012,0.1755,250,1.0818,-0.0002,0.1515,250,-0.0203
1113,0.0124,0.1743,250,1.1294,0.0024,0.1504,250,0.2483
1114,0.0093,0.162,250,0.9104,-0.0001,0.1395,250,-0.0164
1115,-0.0053,0.1602,250,-0.5219,-0.0073,0.1295,250,-0.8948
1116,-0.0024,0.1535,250,-0.2459,-0.007,0.1333,250,-0.8261
1117,0.0112,0.1526,250,1.1622,0.0,0.1403,250,0.0015
1118,0.0024,0.1644,250,0.2283,-0.0083,0.1552,250,-0.8502
1119,-0.0081,0.1628,250,-0.7885,-0.0106,0.1426,250,-1.1771
1120,-0.0154,0.1686,250,-1.4434,-0.0187,0.1508,250,-1.9567
1121,-0.0198,0.1722,250,-1.8198,-0.0216,0.1508,250,-2.2688
1122,-0.0188,0.1658,250,-1.7929,-0.0254,0.1482,250,-2.7058
1123,-0.0118,0.1603,250,-1.1654,-0.0273,0.1416,250,-3.0501
1124,-0.0116,0.1604,250,-1.141,-0.0226,0.1418,250,-2.5147
1125,-0.0145,0.1594,250,-1.4352,-0.0245,0.1346,250,-2.882
1126,-0.0141,0.1565,250,-1.4236,-0.0237,0.1326,250,-2.823
1127,-0.0208,0.1668,250,-1.9699,-0.0294,0.1373,250,-3.3856
1128,-0.0173,0.1649,250,-1.6586,-0.0303,0.1412,250,-3.3974
1129,-0.0007,0.1528,250,-0.0701,-0.0093,0.1281,250,-1.1492
1130,0.0036,0.1601,250,0.3534,-0.0099,0.1313,250,-1.187
1131,-0.0094,0.1646,250,-0.9058,-0.0238,0.1406,250,-2.6816
1132,-0.0115,0.1651,250,-1.1027,-0.0255,0.1469,250,-2.7427
1133,-0.0117,0.1621,250,-1.141,-0.0206,0.1451,250,-2.241
1134,-0.0052,0.1545,250,-0.5325,-0.0109,0.1341,250,-1.2864
1135,0.0056,0.1464,250,0.6042,-0.0007,0.1166,250,-0.0909
1136,-0.0045,0.1574,250,-0.452,-0.005,0.1333,250,-0.5938
1137,-0.0081,0.1635,250,-0.7855,-0.0148,0.1375,250,-1.7046
1138,-0.0099,0.1614,250,-0.9655,-0.0163,0.1283,250,-2.0046
1139,-0.0096,0.162,250,-0.9395,-0.0149,0.1344,250,-1.757
1140,-0.0,0.1563,250,-0.0028,-0.0082,0.1334,250,-0.9754
1141,0.004,0.163,250,0.3913,-0.0095,0.1427,250,-1.049
1142,-0.007,0.1628,250,-0.6794,-0.0171,0.1431,250,-1.887
1143,-0.0049,0.1557,250,-0.4956,-0.0151,0.1351,250,-1.7665
1144,-0.0069,0.1425,250,-0.7642,-0.0201,0.1231,250,-2.5857
1145,-0.0071,0.1527,250,-0.7319,-0.0112,0.1317,250,-1.3508
1146,-0.0121,0.1489,250,-1.2805,-0.0211,0.132,250,-2.5248
1147,-0.0132,0.1586,250,-1.3185,-0.0204,0.1405,250,-2.2917
1148,-0.0164,0.165,250,-1.5723,-0.019,0.1461,250,-2.0535
1149,-0.0232,0.1521,250,-2.412,-0.0272,0.1351,250,-3.1863
1150,-0.0218,0.1479,250,-2.3347,-0.0246,0.1306,250,-2.9771
1151,-0.024,0.1503,250,-2.5224,-0.0273,0.1307,250,-3.3055
1152,-0.0212,0.147,250,-2.278,-0.0211,0.1207,250,-2.7598
1153,-0.022,0.1439,250,-2.4173,-0.0283,0.1203,250,-3.722
1154,-0.013,0.1524,250,-1.3487,-0.0194,0.1252,250,-2.4508
1155,-0.01,0.1494,250,-1.0577,-0.0151,0.1199,250,-1.9922
1156,-0.0201,0.1495,250,-2.1203,-0.0222,0.1249,250,-2.8143
1157,-0.0171,0.1396,250,-1.9401,-0.018,0.1184,250,-2.4018
1158,-0.0119,0.1485,250,-1.2641,-0.0129,0.1302,250,-1.572
