minute,ic_mean,ic_std,ic_n,ic_t,rankic_mean,rankic_std,rankic_n,rankic_t
931,0.0146,0.043,250,5.361,0.0147,0.0468,250,4.9674
932,0.0195,0.0455,250,6.7572,0.0212,0.0487,250,6.8924
933,0.0185,0.0445,250,6.5569,0.0188,0.0486,250,6.1059
934,0.0243,0.0446,250,8.6255,0.0273,0.0482,250,8.9452
935,0.0193,0.0469,250,6.4943,0.0199,0.0514,250,6.1169
936,0.0134,0.0436,250,4.8677,0.0153,0.049,250,4.9453
937,0.0161,0.0443,250,5.7324,0.0197,0.0509,250,6.1034
938,0.0156,0.045,250,5.4743,0.0175,0.048,250,5.7543
939,0.0219,0.0441,250,7.8628,0.0219,0.0494,250,7.0098
940,0.0202,0.0441,250,7.2478,0.0203,0.0491,250,6.5356
941,0.0139,0.0481,250,4.5773,0.0148,0.0556,250,4.1994
942,0.0109,0.047,250,3.6542,0.0127,0.0515,250,3.9081
943,0.0153,0.0437,250,5.5223,0.0176,0.0483,250,5.7794
944,0.0176,0.0471,250,5.9024,0.0194,0.0525,250,5.8382
945,0.0118,0.0487,250,3.8416,0.0126,0.0535,250,3.7212
946,0.0121,0.0504,250,3.8023,0.0133,0.0549,250,3.8427
947,0.0126,0.0511,250,3.8987,0.0127,0.0578,250,3.4817
948,0.0115,0.0502,250,3.6117,0.014,0.0536,250,4.1274
949,0.02,0.0533,250,5.9447,0.0211,0.0576,250,5.79
950,0.012,0.0515,250,3.6738,0.0129,0.0565,250,3.626
951,0.0137,0.0546,250,3.9533,0.0122,0.0627,250,3.0678
952,0.0221,0.0478,250,7.3029,0.0204,0.0547,250,5.8826
953,0.0133,0.052,250,4.0577,0.0133,0.0573,250,3.6857
954,0.0094,0.0512,250,2.9144,0.0097,0.0561,250,2.7412
955,0.0075,0.0556,250,2.1417,0.0074,0.0616,250,1.9065
956,0.0139,0.0507,250,4.3182,0.0133,0.0565,250,3.7135
957,0.0132,0.0496,250,4.2048,0.0155,0.0536,250,4.5827
958,0.0116,0.0561,250,3.2683,0.0089,0.0626,250,2.2565
959,0.0068,0.0513,250,2.1012,0.0067,0.0552,250,1.9309
1000,0.0107,0.0494,250,3.4109,0.0096,0.0554,250,2.7381
