minute,ic_mean,ic_std,ic_n,ic_t,rankic_mean,rankic_std,rankic_n,rankic_t
930,0.0036,0.0483,250,1.1784,0.0126,0.0521,250,3.818
931,0.0146,0.044,250,5.2579,0.0208,0.0511,250,6.4425
932,0.0196,0.0452,250,6.8571,0.024,0.0494,250,7.6972
933,0.0202,0.0467,250,6.8435,0.0245,0.0498,250,7.783
934,0.0247,0.0463,250,8.4406,0.0295,0.0503,250,9.2789
935,0.0215,0.0457,250,7.4304,0.0237,0.0493,250,7.6029
936,0.0165,0.0433,250,6.0094,0.0196,0.0495,250,6.2665
937,0.0186,0.0459,250,6.4014,0.0231,0.0523,250,6.9761
938,0.0176,0.0481,250,5.783,0.0206,0.0529,250,6.1516
939,0.0218,0.0422,250,8.185,0.0248,0.0488,250,8.025
940,0.0228,0.0428,250,8.4339,0.025,0.0505,250,7.8351
941,0.0183,0.0513,250,5.6248,0.0197,0.0585,250,5.3299
942,0.0149,0.0504,250,4.6875,0.0164,0.0576,250,4.4866
943,0.0167,0.0514,250,5.139,0.02,0.0546,250,5.8059
944,0.0188,0.0519,250,5.7217,0.0216,0.0566,250,6.028
945,0.0193,0.0512,250,5.9598,0.0217,0.0586,250,5.8666
946,0.0185,0.0521,250,5.6172,0.0221,0.0574,250,6.0861
947,0.0212,0.0524,250,6.4113,0.0234,0.0613,250,6.0332
948,0.0179,0.0509,250,5.551,0.0213,0.0561,250,6.0079
949,0.0253,0.0551,250,7.2567,0.0269,0.0621,250,6.8476
950,0.0179,0.0495,250,5.7094,0.0213,0.0557,250,6.0419
951,0.019,0.0569,250,5.2841,0.0183,0.0674,250,4.2997
952,0.0252,0.0555,250,7.186,0.0276,0.0618,250,7.0507
953,0.0182,0.05,250,5.757,0.0181,0.0571,250,5.014
954,0.0144,0.0461,250,4.9422,0.0153,0.0529,250,4.5771
955,0.0116,0.0584,250,3.1321,0.0123,0.065,250,2.9918
956,0.0133,0.0551,250,3.8241,0.0153,0.0643,250,3.7724
957,0.0117,0.0556,250,3.3436,0.0138,0.0623,250,3.5086
958,0.0107,0.0578,250,2.9206,0.01,0.0643,250,2.464
959,0.0053,0.0543,250,1.5413,0.004,0.0604,250,1.0437
1000,0.0078,0.0537,250,2.3048,0.0085,0.0593,250,2.2683
1001,0.0141,0.0534,250,4.1685,0.0159,0.0582,250,4.3063
1002,0.0099,0.0552,250,2.8491,0.0131,0.0611,250,3.3904
1003,0.0092,0.0587,250,2.4651,0.0108,0.0662,250,2.5896
1004,0.0106,0.0531,250,3.144,0.0114,0.0594,250,3.0301
1005,0.0111,0.0587,250,2.9967,0.0108,0.0668,250,2.5631
1006,0.0098,0.057,250,2.7171,0.008,0.0636,250,1.9812
1007,0.0074,0.0585,250,2.0003,0.0095,0.0668,250,2.2413
1008,0.0095,0.0558,250,2.7063,0.0125,0.0628,250,3.1573
1009,0.0087,0.0576,250,2.382,0.0088,0.0652,250,2.1419
1010,0.0063,0.0571,250,1.7529,0.0086,0.0643,250,2.1082
1011,0.0109,0.0557,250,3.104,0.0135,0.0644,250,3.3179
1012,0.0052,0.0585,250,1.4047,0.0054,0.0647,250,1.32
1013,0.0151,0.0549,250,4.3472,0.0182,0.0587,250,4.8995
1014,0.0147,0.0578,250,4.0214,0.0161,0.0639,250,3.9858
1015,0.0112,0.0574,250,3.0809,0.0137,0.064,250,3.382
1016,0.0118,0.0555,250,3.357,0.0156,0.0631,250,3.9182
1017,0.0137,0.057,250,3.7879,0.0157,0.0651,250,3.8015
1018,0.0252,0.0579,250,6.8873,0.0278,0.0671,250,6.5516
1019,0.0173,0.06,250,4.5511,0.0178,0.0694,250,4.0489
1020,0.0109,0.0579,250,2.9667,0.0107,0.0666,250,2.5522
1021,0.0133,0.0584,250,3.5905,0.0177,0.0659,250,4.2481
1022,0.012,0.0581,250,3.2656,0.013,0.0652,250,3.1611
1023,0.0128,0.058,250,3.4884,0.0174,0.0665,250,4.1478
1024,0.0064,0.0588,250,1.7316,0.0074,0.0666,250,1.7578
1025,0.0048,0.0563,250,1.3474,0.007,0.0611,250,1.7984
1026,0.0102,0.0573,250,2.8192,0.0103,0.0637,250,2.5621
1027,0.0068,0.0606,250,1.7812,0.0092,0.067,250,2.1776
1028,0.0072,0.0569,250,2.0105,0.0123,0.0634,250,3.0614
1029,0.0097,0.0507,250,3.0364,0.012,0.059,250,3.2263
1030,0.0129,0.055,250,3.7029,0.0166,0.0613,250,4.2766
1031,0.0132,0.0543,250,3.8399,0.0155,0.0614,250,4.0031
1032,0.0074,0.054,250,2.1656,0.0056,0.0609,250,1.4562
1033,0.0069,0.0554,250,1.9737,0.0058,0.0624,250,1.4665
1034,0.0163,0.0566,250,4.5607,0.0171,0.0631,250,4.2748
1035,0.0168,0.0603,250,4.4108,0.0168,0.0664,250,3.9977
1036,0.0109,0.0607,250,2.8307,0.0104,0.0679,250,2.4263
1037,0.0099,0.0636,250,2.4745,0.0092,0.0727,250,2.0107
1038,0.0157,0.0595,250,4.1671,0.0162,0.0686,250,3.7461
1039,0.0134,0.0551,250,3.8509,0.0144,0.063,250,3.6121
1040,0.0117,0.0548,250,3.3632,0.012,0.0592,250,3.1964
1041,0.0107,0.0532,250,3.188,0.0127,0.0619,250,3.2461
1042,0.0123,0.0564,250,3.4514,0.0162,0.0613,250,4.1787
1043,0.0124,0.0545,250,3.5893,0.0157,0.0601,250,4.1401
1044,0.0121,0.055,250,3.4894,0.0131,0.0615,250,3.3652
1045,0.0175,0.0521,250,5.3111,0.0191,0.059,250,5.1262
1046,0.0114,0.0586,250,3.0888,0.0107,0.0657,250,2.5739
1047,0.0099,0.0595,250,2.6307,0.0128,0.0668,250,3.0393
1048,0.0132,0.0558,250,3.7344,0.0185,0.0619,250,4.7106
1049,0.0137,0.0573,250,3.7834,0.0178,0.0672,250,4.192
1050,0.0111,0.0562,250,3.1355,0.0144,0.0629,250,3.6147
