minute,ic_mean,ic_std,ic_n,ic_t,rankic_mean,rankic_std,rankic_n,rankic_t
931,-0.009,0.0955,250,-1.4964,-0.0181,0.1011,250,-2.8263
932,0.0031,0.1158,250,0.419,-0.0059,0.1208,250,-0.7689
933,0.0019,0.1077,250,0.286,-0.012,0.1345,250,-1.4068
934,0.0002,0.1045,250,0.0341,-0.0122,0.1098,250,-1.7544
935,-0.0037,0.1133,250,-0.5216,-0.0199,0.119,250,-2.6472
936,-0.0025,0.1093,250,-0.3559,-0.018,0.1263,250,-2.2553
937,-0.0033,0.1111,250,-0.4677,-0.0148,0.1151,250,-2.0281
938,-0.0217,0.1055,250,-3.2509,-0.0224,0.1192,250,-2.9749
939,0.0129,0.109,250,1.8716,-0.0055,0.1155,250,-0.7591
940,0.0047,0.1145,250,0.6477,-0.0019,0.1144,250,-0.2646
941,-0.0055,0.112,250,-0.777,-0.0167,0.1203,250,-2.2017
942,-0.0118,0.1205,250,-1.543,-0.0209,0.1236,250,-2.6769
943,0.0016,0.1186,250,0.215,-0.0109,0.1287,250,-1.3344
944,-0.0012,0.1198,250,-0.1524,-0.0104,0.1214,250,-1.3545
945,-0.0109,0.1218,250,-1.4175,-0.0114,0.1245,250,-1.4449
946,-0.0005,0.1188,250,-0.0719,-0.0041,0.1312,250,-0.4922
947,-0.0088,0.1185,250,-1.1728,-0.0077,0.1368,250,-0.8886
948,-0.0042,0.1298,250,-0.509,-0.0137,0.1382,250,-1.5684
949,0.0151,0.1168,250,2.0424,0.0101,0.1239,250,1.2923
950,0.0119,0.1179,250,1.5965,0.008,0.1208,250,1.0509
951,-0.0091,0.1262,250,-1.1356,-0.0112,0.1433,250,-1.2306
952,-0.0014,0.1227,250,-0.1746,-0.0017,0.1248,250,-0.2124
953,0.0132,0.1216,250,1.7157,0.0027,0.1213,250,0.3576
954,0.003,0.124,250,0.3806,-0.0059,0.1318,250,-0.7053
955,-0.009,0.1202,250,-1.1789,-0.0089,0.1335,250,-1.0493
956,-0.0158,0.1253,250,-1.9948,-0.0198,0.1383,250,-2.2657
957,-0.0078,0.1196,250,-1.0334,-0.0153,0.1348,250,-1.7941
958,-0.0099,0.1125,250,-1.395,-0.0134,0.1281,250,-1.6591
959,-0.0137,0.1044,250,-2.0682,-0.0262,0.1157,250,-3.5769
1000,-0.017,0.1248,250,-2.1532,-0.0228,0.1393,250,-2.5864
1001,0.0081,0.1155,250,1.1075,0.0036,0.1261,250,0.4471
1002,-0.003,0.12,250,-0.3981,-0.0078,0.1415,250,-0.8675
1003,-0.0129,0.1178,250,-1.7276,-0.01,0.1379,250,-1.1486
1004,-0.0056,0.1159,250,-0.7648,-0.0045,0.1238,250,-0.5797
1005,-0.007,0.1278,250,-0.8664,-0.0093,0.1482,250,-0.99
1006,-0.0067,0.1253,250,-0.84,-0.0149,0.1425,250,-1.6486
1007,-0.0207,0.1228,250,-2.661,-0.025,0.1401,250,-2.8263
1008,0.007,0.1153,250,0.9623,-0.0018,0.13,250,-0.2243
1009,-0.0114,0.1203,250,-1.4975,-0.0116,0.1331,250,-1.3782
1010,-0.0116,0.1221,250,-1.5067,-0.0134,0.1386,250,-1.5254
1011,-0.0212,0.1212,250,-2.7697,-0.0228,0.1361,250,-2.6537
1012,-0.022,0.1342,250,-2.5938,-0.0319,0.1479,250,-3.4157
1013,-0.0042,0.1163,250,-0.5707,-0.0091,0.1274,250,-1.1305
1014,-0.0018,0.126,250,-0.2297,-0.0029,0.1332,250,-0.3478
1015,-0.0155,0.1226,250,-2.003,-0.0224,0.1342,250,-2.6346
1016,0.0023,0.1224,250,0.2957,-0.0052,0.1373,250,-0.6041
1017,0.0122,0.1289,250,1.4945,0.005,0.1389,250,0.5654
1018,0.0048,0.1343,250,0.5599,0.0041,0.1475,250,0.4371
1019,-0.0076,0.1406,250,-0.8598,-0.0122,0.1531,250,-1.2612
1020,-0.009,0.1315,250,-1.0843,-0.0131,0.1404,250,-1.4731
1021,-0.0033,0.1355,250,-0.3896,-0.0065,0.1478,250,-0.7006
1022,-0.0027,0.129,250,-0.3291,-0.0218,0.1369,250,-2.5241
1023,-0.0029,0.1258,250,-0.3674,-0.0122,0.1393,250,-1.3848
1024,-0.0187,0.1245,250,-2.3798,-0.0318,0.1392,250,-3.6109
1025,-0.0046,0.127,250,-0.5753,-0.0142,0.1385,250,-1.6219
1026,-0.0027,0.1375,250,-0.3079,-0.0117,0.1503,250,-1.2258
1027,0.0036,0.1326,250,0.4282,-0.0086,0.1439,250,-0.9476
1028,0.0029,0.132,250,0.3437,-0.0086,0.1431,250,-0.9555
1029,-0.0031,0.1186,250,-0.4088,-0.0063,0.1204,250,-0.8332
1030,0.0012,0.1154,250,0.1608,-0.0008,0.1287,250,-0.1
1031,0.0054,0.1199,250,0.7081,-0.0006,0.1315,250,-0.0709
1032,-0.0124,0.1178,250,-1.6642,-0.0154,0.1243,250,-1.9582
1033,0.0013,0.1103,250,0.1879,-0.0089,0.1245,250,-1.1292
1034,-0.0009,0.1188,250,-0.1252,-0.0049,0.1255,250,-0.6131
1035,-0.0115,0.1109,250,-1.6379,-0.0144,0.1273,250,-1.7869
1036,-0.0227,0.1312,250,-2.7312,-0.0267,0.1427,250,-2.9565
1037,-0.015,0.1314,250,-1.8001,-0.0185,0.1452,250,-2.0098
1038,-0.0104,0.1251,250,-1.3156,-0.0143,0.1379,250,-1.6423
1039,-0.0233,0.1112,250,-3.3194,-0.0267,0.1167,250,-3.615
