minute,ic_mean,ic_std,ic_n,ic_t,rankic_mean,rankic_std,rankic_n,rankic_t
931,-0.0189,0.1098,250,-2.7204,-0.0342,0.1162,250,-4.6565
932,-0.0007,0.1268,250,-0.0888,-0.0161,0.1339,250,-1.8996
933,-0.0129,0.1525,250,-1.3366,-0.0307,0.1606,250,-3.0227
934,-0.0092,0.1551,250,-0.9327,-0.0277,0.1624,250,-2.6938
935,-0.0043,0.1454,250,-0.4709,-0.021,0.1511,250,-2.1977
936,-0.0223,0.1414,250,-2.49,-0.0361,0.1463,250,-3.903
937,-0.0271,0.1303,250,-3.2918,-0.0395,0.1356,250,-4.6095
938,-0.0187,0.131,250,-2.2632,-0.0276,0.1359,250,-3.2111
939,-0.0095,0.1189,250,-1.2618,-0.0185,0.1225,250,-2.3879
940,-0.0029,0.1157,250,-0.3897,-0.011,0.1168,250,-1.4927
941,-0.007,0.1159,250,-0.9502,-0.0159,0.1208,250,-2.0795
942,-0.0192,0.1244,250,-2.4397,-0.0284,0.1282,250,-3.507
943,-0.025,0.1288,250,-3.0744,-0.0347,0.1333,250,-4.118
944,-0.0236,0.1308,250,-2.8573,-0.0322,0.1326,250,-3.8447
945,-0.0098,0.1272,250,-1.2134,-0.0163,0.1287,250,-1.9963
946,-0.0045,0.1308,250,-0.54,-0.0107,0.1343,250,-1.2598
947,-0.0035,0.1378,250,-0.4053,-0.0096,0.1423,250,-1.0652
948,-0.0079,0.1379,250,-0.9097,-0.0153,0.1415,250,-1.707
949,0.0102,0.1386,250,1.1646,0.0049,0.1438,250,0.5372
950,0.0115,0.1296,250,1.4079,0.006,0.1334,250,0.7169
951,-0.0002,0.1374,250,-0.0266,-0.0052,0.1414,250,-0.5787
952,-0.0006,0.1313,250,-0.0689,-0.0056,0.1329,250,-0.6676
953,0.0112,0.132,250,1.3404,0.0056,0.1353,250,0.6563
954,0.0092,0.1272,250,1.1484,0.0049,0.1313,250,0.5897
955,0.0009,0.1284,250,0.112,-0.0033,0.1328,250,-0.3961
956,-0.0156,0.1438,250,-1.718,-0.0203,0.1467,250,-2.1834
957,-0.0173,0.1388,250,-1.9722,-0.0226,0.143,250,-2.4986
958,-0.0178,0.1258,250,-2.2324,-0.0249,0.129,250,-3.0456
959,-0.0313,0.1281,250,-3.8577,-0.0394,0.131,250,-4.7558
1000,-0.0258,0.1347,250,-3.0299,-0.0334,0.1386,250,-3.8096
1001,-0.0133,0.1253,250,-1.6778,-0.0213,0.1265,250,-2.6658
1002,-0.0092,0.1325,250,-1.0988,-0.0148,0.1363,250,-1.7166
1003,-0.0111,0.1373,250,-1.273,-0.0179,0.1432,250,-1.9764
1004,-0.0079,0.1371,250,-0.9093,-0.0138,0.143,250,-1.5294
1005,-0.0042,0.1377,250,-0.4772,-0.0112,0.1441,250,-1.2336
1006,-0.0041,0.1453,250,-0.4408,-0.0098,0.1508,250,-1.027
1007,-0.017,0.1431,250,-1.8788,-0.0213,0.1486,250,-2.2669
1008,-0.0152,0.1352,250,-1.7759,-0.0221,0.1414,250,-2.4674
1009,-0.0158,0.1279,250,-1.9493,-0.0232,0.1313,250,-2.7912
1010,-0.0129,0.1344,250,-1.5221,-0.0177,0.1399,250,-2.0038
1011,-0.0239,0.1399,250,-2.7053,-0.0288,0.1457,250,-3.1289
1012,-0.0396,0.1445,250,-4.3323,-0.046,0.1494,250,-4.8671
1013,-0.0241,0.1322,250,-2.886,-0.0321,0.1353,250,-3.751
1014,-0.0077,0.1313,250,-0.9292,-0.0164,0.1367,250,-1.9006
1015,-0.0087,0.1267,250,-1.0899,-0.0178,0.1301,250,-2.1569
1016,-0.0021,0.132,250,-0.249,-0.0079,0.1367,250,-0.9115
1017,0.0082,0.1333,250,0.9766,0.0007,0.1412,250,0.0776
1018,0.0186,0.135,250,2.1792,0.0112,0.1408,250,1.2588
1019,0.0041,0.1412,250,0.454,-0.003,0.1481,250,-0.3199
