minute,ic_mean,ic_std,ic_n,ic_t,rankic_mean,rankic_std,rankic_n,rankic_t
940,-0.0155,0.1691,250,-1.4475,-0.0146,0.1584,250,-1.4544
941,-0.0085,0.164,250,-0.8217,-0.0112,0.1543,250,-1.1429
942,-0.0173,0.1693,250,-1.6117,-0.0209,0.1582,250,-2.0854
943,-0.0211,0.1658,250,-2.0097,-0.0267,0.1536,250,-2.7453
944,-0.0245,0.1676,250,-2.3072,-0.0303,0.1536,250,-3.121
945,-0.0148,0.164,250,-1.4272,-0.0176,0.1554,250,-1.7926
946,-0.015,0.1668,250,-1.4259,-0.0164,0.1616,250,-1.6095
947,-0.0066,0.1705,250,-0.613,-0.0081,0.1633,250,-0.7862
948,-0.0047,0.1697,250,-0.4363,-0.0089,0.1647,250,-0.8505
949,0.0025,0.1724,250,0.2294,-0.0029,0.171,250,-0.2658
950,0.0105,0.1672,250,0.9893,0.0034,0.1603,250,0.3398
951,0.0121,0.167,250,1.1479,0.0088,0.1585,250,0.8819
952,0.0106,0.1638,250,1.0217,0.0073,0.1528,250,0.7583
953,0.0132,0.1618,250,1.291,0.01,0.1504,250,1.0477
954,0.0114,0.1625,250,1.1057,0.0066,0.1535,250,0.6759
955,0.0129,0.1657,250,1.2292,0.0086,0.1539,250,0.8802
956,-0.0003,0.1749,250,-0.0253,-0.0039,0.1638,250,-0.3765
957,-0.0078,0.1831,250,-0.6714,-0.0147,0.172,250,-1.3545
958,-0.0065,0.1782,250,-0.5801,-0.0156,0.1685,250,-1.461
959,-0.0159,0.1797,250,-1.4012,-0.0264,0.171,250,-2.4421
1000,-0.0242,0.1829,250,-2.0943,-0.0283,0.1749,250,-2.56
1001,-0.0277,0.1807,250,-2.4201,-0.0349,0.1713,250,-3.2234
1002,-0.024,0.1735,250,-2.1831,-0.0301,0.1649,250,-2.8834
1003,-0.0285,0.1705,250,-2.6444,-0.0318,0.1595,250,-3.1559
1004,-0.0343,0.1699,250,-3.1894,-0.0326,0.156,250,-3.3044
1005,-0.0298,0.1685,250,-2.7979,-0.0268,0.1556,250,-2.7263
1006,-0.0172,0.1797,250,-1.5168,-0.0175,0.1662,250,-1.6636
1007,-0.0232,0.1876,250,-1.9584,-0.0212,0.1729,250,-1.9384
1008,-0.0213,0.1777,250,-1.8922,-0.0196,0.1649,250,-1.8802
1009,-0.0161,0.178,250,-1.4304,-0.02,0.1614,250,-1.9634
1010,-0.0072,0.1683,250,-0.6773,-0.0117,0.1528,250,-1.2067
1011,-0.0061,0.1704,250,-0.564,-0.0138,0.1535,250,-1.4208
1012,-0.0211,0.1751,250,-1.9097,-0.029,0.1613,250,-2.8399
1013,-0.0191,0.1706,250,-1.7728,-0.0336,0.156,250,-3.4006
1014,-0.0169,0.1735,250,-1.5391,-0.03,0.1589,250,-2.9893
1015,-0.0179,0.1778,250,-1.5931,-0.032,0.1669,250,-3.0298
1016,-0.0009,0.1839,250,-0.0809,-0.0165,0.1766,250,-1.4769
1017,-0.0028,0.1859,250,-0.2383,-0.0158,0.1817,250,-1.3729
1018,0.0034,0.1814,250,0.2934,-0.0074,0.1788,250,-0.6539
1019,-0.0046,0.1792,250,-0.4074,-0.0147,0.1744,250,-1.3323
1020,-0.0105,0.1668,250,-0.9935,-0.0171,0.1631,250,-1.6532
1021,-0.0066,0.1794,250,-0.5806,-0.0121,0.1742,250,-1.0986
1022,-0.0058,0.1699,250,-0.5351,-0.0139,0.167,250,-1.3153
1023,-0.0178,0.174,250,-1.6185,-0.0285,0.1658,250,-2.7226
1024,-0.0225,0.1728,250,-2.062,-0.0324,0.1644,250,-3.115
1025,-0.022,0.1766,250,-1.9693,-0.0316,0.1715,250,-2.9166
1026,-0.0195,0.1749,250,-1.7598,-0.0292,0.1752,250,-2.6383
1027,-0.0225,0.1781,250,-2.0007,-0.0284,0.1788,250,-2.5144
1028,-0.0175,0.1749,250,-1.5843,-0.0266,0.1765,250,-2.3836
1029,-0.0053,0.1829,250,-0.454,-0.0176,0.1823,250,-1.5243
1030,0.0057,0.1778,250,0.5047,-0.0069,0.1734,250,-0.6254
1031,0.0209,0.1766,250,1.8707,0.0043,0.1711,250,0.4018
1032,0.0132,0.1778,250,1.1706,-0.0043,0.1704,250,-0.3983
1033,0.0045,0.1761,250,0.403,-0.0106,0.1683,250,-0.9987
1034,-0.0017,0.1829,250,-0.1456,-0.0149,0.1694,250,-1.3903
1035,-0.0089,0.1862,250,-0.7549,-0.0184,0.1732,250,-1.6804
1036,-0.0138,0.1868,250,-1.1702,-0.0226,0.177,250,-2.0212
1037,-0.0267,0.1785,250,-2.3666,-0.0342,0.1696,250,-3.1833
1038,-0.0282,0.1618,250,-2.7557,-0.0344,0.1585,250,-3.4275
1039,-0.0309,0.1662,250,-2.9429,-0.0338,0.1569,250,-3.4024
1040,-0.0399,0.1736,250,-3.6381,-0.0416,0.1624,250,-4.0498
1041,-0.0414,0.1714,250,-3.8167,-0.0412,0.1622,250,-4.0217
1042,-0.041,0.1638,250,-3.959,-0.0449,0.1557,250,-4.5595
1043,-0.0477,0.1614,250,-4.671,-0.0494,0.1542,250,-5.0659
1044,-0.0511,0.1689,250,-4.7828,-0.0498,0.1597,250,-4.9361
1045,-0.0444,0.1686,250,-4.1683,-0.0432,0.1622,250,-4.2139
1046,-0.0426,0.1872,250,-3.5978,-0.0466,0.1759,250,-4.1836
1047,-0.0467,0.1793,250,-4.1196,-0.0477,0.169,250,-4.4622
1048,-0.0396,0.1721,250,-3.6394,-0.0422,0.1635,250,-4.0843
1049,-0.037,0.1754,250,-3.3398,-0.0389,0.1675,250,-3.671
1050,-0.0362,0.1796,250,-3.1847,-0.0437,0.1677,250,-4.1226
1051,-0.0011,0.1667,250,-0.1015,-0.0153,0.16,250,-1.5159
1052,0.0045,0.157,250,0.4574,-0.0081,0.1519,250,-0.8415
1053,0.0133,0.1408,250,1.4918,0.0007,0.132,250,0.0827
1054,0.0006,0.149,250,0.0658,-0.0119,0.1452,250,-1.2908
1055,0.0053,0.1512,250,0.5543,-0.0075,0.147,250,-0.8117
1056,0.0071,0.1571,250,0.7118,-0.0048,0.1551,250,-0.4892
1057,0.0139,0.1674,250,1.3126,0.0011,0.1618,250,0.1104
1058,0.0203,0.1766,250,1.8157,0.0071,0.172,250,0.6515
1059,0.0033,0.1791,250,0.2938,-0.0043,0.1711,250,-0.3952
1100,0.007,0.1729,250,0.6372,-0.0044,0.1635,250,-0.4262
1101,0.0085,0.1685,250,0.7991,-0.0032,0.1528,250,-0.3331
1102,-0.0038,0.1724,250,-0.3509,-0.0124,0.1543,250,-1.2715
1103,-0.0091,0.1665,250,-0.8608,-0.0093,0.1485,250,-0.9942
1104,-0.0207,0.1725,250,-1.8989,-0.0231,0.1566,250,-2.3327
1105,-0.0255,0.1735,250,-2.3247,-0.0233,0.1575,250,-2.335
1106,-0.0161,0.1694,250,-1.5007,-0.0181,0.1601,250,-1.7905
1107,-0.0187,0.1721,250,-1.714,-0.02,0.1643,250,-1.9224
1108,-0.0118,0.1737,250,-1.0714,-0.0168,0.1667,250,-1.593
1109,-0.0134,0.1737,250,-1.2151,-0.0171,0.1638,250,-1.6538
1110,-0.0113,0.1538,250,-1.1608,-0.018,0.1476,250,-1.9281
1111,-0.0062,0.1528,250,-0.6443,-0.0144,0.1416,250,-1.6028
1112,-0.0006,0.1736,250,-0.0534,-0.008,0.1545,250,-0.818
1113,0.004,0.1681,250,0.3809,-0.0005,0.1561,250,-0.0476
1114,0.0044,0.1743,250,0.4034,-0.0048,0.1628,250,-0.4682
