minute,ic_mean,ic_std,ic_n,ic_t,rankic_mean,rankic_std,rankic_n,rankic_t
931,-0.0078,0.1194,250,-1.0281,-0.0151,0.1024,250,-2.3355
932,-0.0062,0.1377,250,-0.7117,-0.006,0.1229,250,-0.7699
933,-0.0108,0.1463,250,-1.1664,-0.0128,0.1393,250,-1.4546
934,-0.0143,0.1243,250,-1.8144,-0.0162,0.1122,250,-2.286
935,-0.0202,0.1312,250,-2.4395,-0.0213,0.1225,250,-2.7444
936,-0.0263,0.1364,250,-3.0522,-0.0223,0.1302,250,-2.7129
937,-0.0208,0.129,250,-2.5521,-0.0153,0.1203,250,-2.0117
938,-0.0381,0.1342,250,-4.4909,-0.0259,0.1219,250,-3.3607
939,-0.0064,0.1296,250,-0.7856,-0.0091,0.1195,250,-1.2062
940,-0.0038,0.1275,250,-0.4761,-0.0012,0.1157,250,-0.1643
941,-0.0129,0.1301,250,-1.5637,-0.02,0.1205,250,-2.6196
942,-0.0192,0.1398,250,-2.1697,-0.0235,0.1262,250,-2.939
943,-0.0053,0.1456,250,-0.5733,-0.0118,0.1321,250,-1.4096
944,-0.014,0.1388,250,-1.5994,-0.0138,0.1253,250,-1.744
945,-0.015,0.143,250,-1.6602,-0.0122,0.1277,250,-1.511
946,-0.0048,0.1419,250,-0.5339,-0.0027,0.1376,250,-0.3067
947,0.0008,0.1479,250,0.0882,-0.0016,0.1413,250,-0.1758
948,-0.009,0.1474,250,-0.969,-0.0121,0.1414,250,-1.3487
949,0.0105,0.1396,250,1.1836,0.0107,0.1294,250,1.3057
950,0.0104,0.1369,250,1.196,0.0103,0.1259,250,1.2965
951,-0.0067,0.1524,250,-0.6951,-0.0063,0.1484,250,-0.6677
952,-0.0042,0.1474,250,-0.4454,0.0008,0.1281,250,0.1038
953,0.0067,0.1418,250,0.7417,0.0058,0.1236,250,0.7454
954,0.0026,0.1443,250,0.287,-0.0028,0.1358,250,-0.3225
955,-0.0082,0.1457,250,-0.8919,-0.009,0.138,250,-1.0302
956,-0.0203,0.1568,250,-2.0516,-0.0187,0.1459,250,-2.0227
957,-0.0131,0.1521,250,-1.3594,-0.0195,0.1428,250,-2.1633
958,-0.0132,0.1461,250,-1.4323,-0.0149,0.1332,250,-1.7699
959,-0.0276,0.1295,250,-3.3674,-0.0279,0.1216,250,-3.6227
1000,-0.0208,0.1595,250,-2.0605,-0.0198,0.1558,250,-2.0039
1001,0.011,0.1423,250,1.2219,0.0066,0.135,250,0.7724
1002,-0.007,0.1526,250,-0.728,-0.0056,0.1484,250,-0.5929
1003,-0.0074,0.1408,250,-0.8281,-0.0097,0.1413,250,-1.0886
1004,-0.0051,0.1369,250,-0.5869,-0.0013,0.1285,250,-0.1643
1005,-0.0048,0.1638,250,-0.4658,-0.0039,0.1551,250,-0.3988
1006,-0.0123,0.1592,250,-1.2187,-0.0127,0.15,250,-1.3387
1007,-0.0229,0.1522,250,-2.3753,-0.0273,0.1491,250,-2.8936
1008,0.0044,0.1473,250,0.4773,-0.0006,0.1355,250,-0.0684
1009,-0.0097,0.1509,250,-1.0129,-0.0086,0.1384,250,-0.9834
1010,-0.0086,0.1529,250,-0.8929,-0.0107,0.1443,250,-1.1743
1011,-0.0252,0.157,250,-2.5405,-0.0221,0.1457,250,-2.4004
1012,-0.027,0.164,250,-2.6044,-0.0304,0.1573,250,-3.0576
1013,0.005,0.1506,250,0.5258,-0.0024,0.1411,250,-0.2745
1014,0.0048,0.1528,250,0.4995,-0.0012,0.1402,250,-0.1408
1015,-0.0131,0.1516,250,-1.3703,-0.0216,0.1447,250,-2.3557
1016,0.0026,0.147,250,0.277,-0.0038,0.1457,250,-0.4178
1017,0.0141,0.1528,250,1.4623,0.0083,0.1502,250,0.8773
