minute,ic_mean,ic_std,ic_n,ic_t,rankic_mean,rankic_std,rankic_n,rankic_t
931,0.0088,0.0628,250,2.2044,0.0219,0.0507,250,6.8222
932,0.0078,0.0681,250,1.8064,0.0258,0.0509,250,8.0175
933,0.0099,0.0602,250,2.593,0.0272,0.0498,250,8.6264
934,0.0128,0.0548,250,3.7006,0.0322,0.0517,250,9.8496
935,0.0114,0.0539,250,3.3377,0.0273,0.0487,250,8.8715
936,0.0065,0.0552,250,1.8607,0.023,0.0484,250,7.5213
937,0.0082,0.0483,250,2.6787,0.0258,0.052,250,7.8552
938,0.0093,0.0536,250,2.7582,0.0242,0.0522,250,7.3153
939,0.009,0.0508,250,2.7874,0.0268,0.0494,250,8.57
940,0.0143,0.0485,250,4.6446,0.0279,0.0504,250,8.7489
941,0.0136,0.0521,250,4.1297,0.0218,0.0568,250,6.067
942,0.009,0.0517,250,2.7459,0.0171,0.0586,250,4.6274
943,0.0106,0.0514,250,3.2555,0.0219,0.0552,250,6.2598
944,0.0057,0.0537,250,1.671,0.0229,0.0543,250,6.6593
945,0.0091,0.0546,250,2.646,0.0229,0.0573,250,6.3257
946,0.0065,0.0573,250,1.7925,0.0244,0.0563,250,6.8633
947,0.0057,0.059,250,1.5224,0.0261,0.06,250,6.8755
948,0.009,0.0584,250,2.4387,0.024,0.0544,250,6.9669
949,0.01,0.0646,250,2.4432,0.0297,0.0642,250,7.3065
950,0.013,0.0574,250,3.5916,0.0245,0.0557,250,6.9366
951,0.0146,0.0561,250,4.1176,0.021,0.0641,250,5.1808
952,0.0129,0.0587,250,3.4712,0.029,0.0611,250,7.5008
953,0.0078,0.0538,250,2.2895,0.0198,0.0581,250,5.3789
954,0.0094,0.0513,250,2.9037,0.0188,0.0545,250,5.4508
955,0.0077,0.053,250,2.3016,0.014,0.0618,250,3.5674
956,0.0081,0.0512,250,2.497,0.0183,0.0628,250,4.6028
957,0.0117,0.0531,250,3.4803,0.0143,0.0606,250,3.7243
958,0.0108,0.0494,250,3.4575,0.0126,0.063,250,3.1569
959,0.009,0.0515,250,2.7641,0.0058,0.0597,250,1.54
1000,0.0019,0.0534,250,0.5524,0.0097,0.0579,250,2.6504
1001,0.0031,0.0574,250,0.8605,0.0169,0.0594,250,4.5071
1002,0.0032,0.0525,250,0.9725,0.0162,0.0618,250,4.1399
1003,0.005,0.0538,250,1.4643,0.0133,0.0639,250,3.2921
