minute,ic_mean,ic_std,ic_n,ic_t,rankic_mean,rankic_std,rankic_n,rankic_t
931,0.0094,0.0418,250,3.5704,0.0213,0.0513,250,6.558
932,0.01,0.0402,250,3.9192,0.0218,0.0482,250,7.1403
933,0.0131,0.0395,250,5.2276,0.0247,0.0476,250,8.2085
934,0.0102,0.0379,250,4.2603,0.0281,0.049,250,9.0802
935,0.0105,0.0354,250,4.7012,0.024,0.048,250,7.9126
936,0.0114,0.0364,250,4.9573,0.0189,0.0486,250,6.1622
937,0.0107,0.0392,250,4.3086,0.0208,0.0497,250,6.6212
938,0.0129,0.0358,250,5.6872,0.0201,0.0512,250,6.2173
939,0.0166,0.0374,250,7.0302,0.0248,0.0481,250,8.1511
940,0.0123,0.0362,250,5.381,0.0236,0.0503,250,7.414
941,0.0149,0.0361,250,6.5341,0.0207,0.0546,250,5.9972
942,0.0079,0.0378,250,3.3008,0.0171,0.0553,250,4.8962
943,0.0122,0.038,250,5.0804,0.0193,0.0513,250,5.9425
944,0.0099,0.0414,250,3.7706,0.0213,0.0538,250,6.2482
945,0.0096,0.0397,250,3.8178,0.0233,0.056,250,6.5814
946,0.0097,0.0363,250,4.2438,0.0216,0.0544,250,6.2871
947,0.0114,0.0425,250,4.2307,0.0216,0.0583,250,5.8551
948,0.0084,0.0383,250,3.4539,0.021,0.0525,250,6.3259
949,0.0123,0.0353,250,5.5235,0.0259,0.0583,250,7.0241
950,0.0129,0.039,250,5.2506,0.0216,0.0533,250,6.4102
951,0.0059,0.0405,250,2.3198,0.0171,0.0626,250,4.3287
952,0.0116,0.0413,250,4.4335,0.026,0.0572,250,7.1804
953,0.0122,0.0393,250,4.9069,0.0169,0.0549,250,4.8604
954,0.0089,0.038,250,3.6932,0.0158,0.0521,250,4.7918
955,0.0091,0.042,250,3.4095,0.0133,0.0577,250,3.6541
956,0.0095,0.0398,250,3.756,0.0161,0.0604,250,4.2166
957,0.0106,0.0379,250,4.4266,0.0144,0.0572,250,3.9683
958,0.0057,0.0416,250,2.1811,0.011,0.0595,250,2.9256
959,0.0058,0.0396,250,2.3045,0.004,0.0577,250,1.1016
1000,0.0017,0.0424,250,0.6448,0.0079,0.0551,250,2.2556
